Year,2016,,,,2012,,,2008,,,2004,,,2000,,,,1996,,,,1992,,,,1988,,,1984,,,1980,,,,1976,,,1972,,,1968,,,,1964,,,1960,,,,1956,,,,1952,,,1948,,,,,1944,,,1940,,,1936,,,1932,,,,1928,,,1924,,,,1920,,,,1916,,,,1912,,,,,1908,,,,1904,,,,1900,,,1896,,,1892,,,,1888,,,1884,,,1880,,,,1876,,,1872,,,1868,,,1864,,,1860,,,,,1856,,,,1852,,,,1848,,,,1844,,,,1840,,,1836,,,,,1832,,,,1828,,
Louisiana,2029032,780154,1178638,37978,1994065,809141,1152262,1960761,782989,1148275,1943106,820299,1102169,1765656,792344,927871,20473,1783959,927837,712586,123293,1790017,815971,733386,211478,1628202,717460,883702,1706822,651586,1037299,1548591,708453,792853,26345,1278439,661365,587446,1051491,298142,686852,1097450,309615,257535,530300,896293,387068,509225,807891,407339,230980,169572,617544,243977,329047,44520,651952,345027,306925,416336,136344,72657,204290,3035,349383,281564,67750,372305,319751,52446,329778,292894,36791,268804,249418,18853,0,215833,164655,51160,121951,93218,24670,0,126396,87519,38538,0,92982,79875,6466,292,79248,60871,3833,9283,5261,75117,63568,8958,2514,53908,47708,5205,995,67906,53668,14234,101046,77175,22037,114889,87926,26963,0,115891,85032,30660,109399,62594,46347,104462,65047,38978,437,145823,70508,75315,128692,57029,71663,113488,80225,33263,,,,50510,7625,0,22681,20204,42873,22164,0,20709,35902,18647,17255,0,33866,15379,18487,0,26865,13782,13083,0,18912,7616,11296,7425,3842,0,3583,0,6337,3908,2429,0,8687,4605,4082
Maine,747927,357735,335593,38105,713180,401306,292276,731163,421923,295273,740752,396842,330201,651817,319951,286616,37127,605897,312788,186378,85970,679499,263420,206504,206820,555035,243569,307131,553144,214515,336500,523011,220974,238522,53327,483208,232279,236320,417271,160584,256458,392936,217312,169254,6370,381221,262264,118701,421773,181159,240608,6,351706,102468,249238,0,351786,118806,232353,264789,111916,150234,0,1884,296400,140631,155434,320840,156478,163951,304240,126333,168823,298444,128907,166631,2489,262171,81179,179923,192192,41964,138440,11382,197840,58961,136355,2214,136314,64033,69508,2177,129640,51113,26545,48495,2541,106336,35403,66987,1758,97023,27642,65432,2102,105693,36822,65412,118419,34587,80403,116451,48049,62936,2396,128253,50472,73730,130491,52153,72217,143903,65211,74052,4409,117045,49917,66300,90523,29097,61426,112962,42460,70502,114797,46992,67805,100918,29693,62811,6368,2046,109689,39140,67279,3270,82182,41609,32543,8030,87625,40195,35273,12157,84933,45719,34378,4836,92802,46190,46612,38740,22825,14803,0,0,62153,33978,27331,844,34789,13927,20773
Maryland,2781446,1677928,943169,79605,2707327,1677844,971869,2631596,1629467,959862,2386678,1334493,1024703,2025480,1145782,813797,53768,1780870,966207,681530,115812,1985046,988571,707094,281414,1714358,826304,876167,1675873,787935,879918,1540496,726161,680606,119537,1432273,759612,672661,1353812,505781,829305,1235039,538310,517995,178734,1116457,730912,385495,1055349,565808,489538,3,932351,372613,559738,0,902074,395337,499424,596735,286521,294814,2476,9983,608439,315490,292949,660117,384546,269534,624896,389612,231435,511054,314314,184184,10489,528348,223626,301479,358630,148072,162414,47157,428443,180626,236117,8876,262039,138359,117347,2674,231981,112674,54956,57789,3996,238531,115908,116513,2323,224229,109446,109497,2247,264434,122238,136185,250249,104150,136959,213275,113866,92736,796,210941,106188,99986,186019,96866,85748,172221,93706,78515,0,163759,91779,71980,134447,67687,66760,92795,62357,30438,72892,32739,40153,92502,5966,2294,42482,41760,86860,39123,285,47452,75120,40022,35077,21,72359,34528,37702,129,68690,32706,35984,0,62280,28752,33528,48119,22267,25852,0,0,38316,19156,19160,0,45796,22782,23014
Massachusetts,3325046,1995196,1090893,138018,3167767,1921761,1188460,3081069,1904098,1108854,2912388,1803800,1071109,2702984,1616487,878502,173564,2556785,1571763,718107,227217,2773574,1318662,805049,632312,2632805,1401406,1194644,2559453,1239606,1310936,2524298,1053802,1057631,382539,2547558,1429475,1030276,2458756,1332540,1112078,2331752,1469218,766844,87088,2344798,1786422,549727,2469480,1487174,976750,5556,2348506,948190,1393197,7119,2383398,1083525,1292325,2107146,1151788,909370,0,38157,1960665,1035296,921350,2026993,1076522,939700,1840357,942716,768613,1580114,800148,736959,34305,1577823,792758,775566,1129837,280831,703476,141225,993718,276691,681153,32267,531832,247894,268784,11058,488057,173408,155948,142228,12616,456919,155543,265966,10779,445109,165746,257822,13604,414804,156997,238866,401568,105711,278976,391028,176813,202814,3210,344243,151590,183892,303383,122352,146724,282265,111720,165198,4548,259620,108777,150064,192864,59195,133455,195508,59103,136379,175490,48745,126742,169876,34370,106684,6163,22331,170048,39244,108172,19626,127103,44569,52683,28023,134748,35281,61072,38333,132037,53039,67062,10830,126825,52355,72852,74732,33486,0,0,41201,67619,13933,31963,14692,39074,6012,29836
Michigan,4824260,2268839,2279543,172136,4745316,2564569,2115256,5010606,2872579,2048639,4839252,2479183,2313746,4232711,2170418,1953139,84165,3848844,1989653,1481212,336670,4274673,1871182,1554940,824813,3669163,1675783,1965486,3801658,1529638,2251571,3909725,1661532,1915225,275223,3653749,1696714,1893742,3490325,1459435,1961721,3306250,1593082,1370665,331968,3203102,2136615,1060152,3318097,1687269,1620428,10400,3080468,1359898,1713647,6923,2798592,1230657,1551529,2109609,1003448,1038595,0,46515,2205223,1106899,1084423,2085929,1032991,1039917,1805098,1016794,699733,1664765,871700,739894,39205,1372082,396762,965396,1160419,152359,874631,122014,1048411,233450,762865,28947,650973,286775,339097,16120,550976,150751,152244,214584,23211,541830,175771,335580,11586,525027,135392,364957,9042,544379,211685,316269,545585,237166,293336,466045,201624,222708,19931,475356,213469,236387,401186,189361,192669,353079,131597,185335,34895,318450,141685,166901,221455,78551,138758,225620,97060,128560,147662,68513,79149,154549,64889,88450,805,405,125561,52139,71762,1660,82939,41842,33860,7237,65082,30742,23947,10393,55751,27737,24375,3639,44350,21096,22933,12667,7122,5545,0,0,,,,,,,
Minnesota,2945233,1367825,1323232,112984,2936561,1546167,1320225,2910369,1573354,1275409,2828387,1445014,1346695,2438685,1168266,1109659,126696,2192640,1120438,766476,257704,2347948,1020997,747841,562506,2096790,1109471,962337,2084449,1036364,1032603,2051953,954174,873241,174990,1949931,1070440,819395,1741652,802346,898269,1588510,857738,658643,68931,1554462,991117,559624,1541887,779933,757915,4039,1340005,617525,719302,3178,1379483,608458,763211,1212226,692966,483617,0,27866,1125529,589864,527416,1251188,644196,596274,1129975,698811,350461,1002843,600806,363959,25476,970976,396451,560977,822146,55913,420759,339192,735838,142994,519421,56106,387364,179152,179544,20117,334219,106426,64334,125856,27505,331304,109401,195843,14527,292860,55187,216651,11692,316311,112901,190461,341762,139735,193503,267238,100920,122823,29313,263285,104385,142492,190017,70065,111685,150770,53315,93902,3267,124075,48587,72955,90919,35211,55708,71818,28096,43722,42422,17367,25055,34737,11920,22069,748,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1211088,485131,700714,14435,1285584,562949,710746,1289939,554662,724597,1152365,458094,684981,994926,404964,573230,8126,893857,394022,439838,52222,981793,400258,487793,85626,931527,363921,557890,940192,352192,581477,892620,429281,441089,12036,769360,381309,366846,645963,126782,505125,654509,150644,88516,415349,409146,52618,356528,298171,108362,73561,116248,248149,144498,60685,42966,285532,172566,112966,192190,19384,5043,167538,225,180080,168479,11601,175824,168267,7364,162142,157333,4467,146034,140168,5180,686,151692,124539,27153,112462,100474,8494,3494,82492,69277,11576,1639,86679,80422,4253,1484,64483,57324,1560,3549,2050,66904,60287,4363,978,58721,53480,3280,462,59055,51706,5707,69591,63355,4819,52519,40030,1398,10118,115786,85451,30095,120688,77653,43035,117068,75750,34844,5797,164776,112173,52603,129457,47282,82175,,,,,,,69095,3282,0,40768,25045,59647,35456,0,24191,44454,26896,17558,0,52456,26545,25911,0,45004,25846,19158,0,36525,17010,19515,20079,10297,0,9782,0,5750,5750,0,0,8344,6763,1581
Missouri,2827673,1071068,1594511,97359,2763689,1223796,1482440,2929111,1441911,1445814,2731364,1259171,1455713,2359892,1111138,1189924,38515,2158065,1025935,890016,217188,2391565,1053873,811159,518741,2093228,1001619,1084953,2122771,848583,1274188,2099824,931182,1074181,77920,1953600,998387,927443,1852589,698531,1154058,1809502,791444,811932,206126,1817879,1164344,653535,1934422,972201,962221,0,1832562,918273,914289,0,1892062,929830,959429,1578628,917315,655039,42,3998,1572474,807804,761524,1833729,958476,871009,1828635,1111043,697891,1609894,1025406,564713,16374,1500721,662562,834080,1307958,572753,648486,84160,1332800,574799,727162,20242,786769,398032,369339,14612,698566,330746,207821,124375,28466,715927,346574,347203,15431,643861,296312,321449,13009,683656,351922,314092,673906,363667,304940,541583,268400,227646,41204,521360,261943,236252,441268,236023,203081,397289,208600,153647,35042,350610,202086,145027,273059,151434,119196,152488,65628,86860,104346,31596,72750,165563,58801,17028,31362,58372,106486,57964,0,48522,68801,38817,29984,0,72748,40077,32671,0,72522,41322,31200,0,52923,29969,22954,18332,10995,0,7337,0,5192,5192,0,0,11654,8232,3422
Montana,501822,177709,279240,28037,484484,201839,267928,492750,232159,243882,450445,173710,266063,410997,137126,240178,24437,407261,167922,179652,55229,410611,154507,144207,107225,365674,168936,190412,384377,146742,232450,363952,118032,206814,29281,328734,149259,173703,317603,120197,183976,274404,114117,138835,20015,278628,164246,113032,277579,134891,141841,847,271171,116238,154933,0,265037,106213,157394,224278,119071,96770,0,7313,207355,112556,93163,247873,145698,99579,230512,159690,63598,216479,127286,78078,7891,194108,78578,113300,174423,33805,74138,66123,179006,57372,109430,0,177679,101063,66750,9564,79826,27941,18512,22456,10885,68822,29326,32333,5855,64444,21773,34932,5676,63856,37311,25409,53330,42628,10509,44461,17690,18871,7338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,844227,284494,495961,38946,794379,302081,475064,801281,333319,452979,778186,254328,512814,697019,231780,433862,24540,677415,236761,363467,71278,739283,217344,344346,174687,662372,259646,398447,652090,187866,460054,640854,166851,419937,44993,607668,233692,359705,576289,169991,406298,536851,170784,321163,44904,584154,307307,276847,613095,232542,380553,0,577137,199029,378108,0,609660,188057,421603,488940,224165,264774,0,0,563126,233246,329880,615878,263677,352201,608023,347445,247731,570137,359082,201177,9876,547144,197959,345745,464173,137289,218585,106701,382743,119608,247498,9600,287315,158827,117771,7141,249483,109008,54226,72681,10185,266799,131099,126997,3524,225732,52921,138558,7412,241430,114013,121835,223182,115007,103064,200192,24943,87213,83134,202632,80552,108425,134202,54391,76912,87452,28523,54979,3950,49328,17413,31915,25932,7603,18329,15291,5519,9772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1125385,539260,512058,37384,1014918,531373,463567,967848,533736,412827,829587,397190,418690,608970,279978,301575,15008,464279,203974,199244,43986,506318,189148,175828,132580,350067,132738,206040,286667,91655,188770,247885,66666,155017,17651,201876,92479,101273,181766,66016,115750,154218,60598,73188,20432,135433,79339,56094,107267,54880,52387,0,96689,40640,56049,0,82190,31688,50502,62117,31291,29357,0,1469,54234,29623,24611,53174,31945,21229,43848,31925,11923,41430,28756,12674,0,32417,14090,18327,26921,5909,11243,9769,27194,9851,15479,1864,33316,17776,12127,3065,20115,7986,3196,5620,3313,24526,11212,10775,2103,12115,3982,6864,925,10196,6347,3849,10314,8376,1938,10878,714,2811,7264,12278,5149,7088,12797,5578,7193,18345,9613,8732,0,19691,9308,10383,14649,6236,8413,11698,5218,6480,16420,6594,9826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,744296,348526,345790,30777,710972,369561,329918,710970,384826,316534,677738,340511,331237,569081,266348,273559,22198,499175,246214,196532,48390,537945,209040,202484,121337,450525,163696,281537,388954,120395,267051,383999,108864,221705,49693,339618,147635,185935,334059,116435,213724,297299,130589,154903,11173,288093,184064,104029,295761,137772,157989,0,266994,90364,176519,111,272950,106663,166287,231440,107995,121299,7,1970,229627,119663,109916,235419,125292,110127,218114,108460,104642,205520,100680,103629,947,196757,80715,115404,164769,57201,98575,8993,159092,62662,95196,1234,89127,43781,43725,1318,87961,34724,32927,17794,1981,89600,33655,53149,1299,90161,34074,54163,1090,92364,35489,54799,83670,21650,57444,89329,42081,45658,293,90835,43456,45728,84586,39198,43254,86361,40797,44856,528,80141,38510,41540,68906,31425,37168,68304,30575,37718,69630,33034,36596,65943,25887,37519,2125,412,69774,31891,37473,410,50535,28503,15486,6546,50104,27763,14781,7560,49187,27160,17866,4161,59956,32774,26310,24925,18697,6228,0,0,43793,24855,18938,0,44035,20212,23823
New Jersey,3906723,2148278,1601933,72477,3651140,2126610,1478749,3877407,2215422,1613207,3612137,1911430,1670003,3187226,1788850,1284173,94554,3075807,1652329,1103078,262134,3343594,1436206,1356865,521829,3099553,1320352,1743192,3217862,1261323,1933630,2975684,1147364,1546557,234632,3014472,1444653,1509688,2997229,1102211,1845502,2875395,1264206,1325467,262187,2846770,1867671,963843,2773111,1385415,1363324,24372,2484312,850337,1606942,27033,2419554,1015902,1374613,1949555,895455,981124,0,42683,1963761,987874,961335,1972552,1016808,945475,1820437,1083850,720322,1630063,806630,775684,42998,1549381,616517,926050,1086079,297743,675162,108901,903943,256887,611541,27141,494442,211018,268982,10405,432739,178289,88835,145410,15948,467111,182522,265298,10249,432547,164566,245164,9587,401050,164808,221707,371211,133695,221535,337623,171066,156101,985,303801,151508,144360,260921,127798,123440,245928,122565,120555,2617,220193,115962,103517,168112,76456,91656,163132,83001,80131,128747,68024,60723,121215,62869,58346,0,0,99396,46943,28338,24115,83220,44305,38556,359,77735,36901,40015,819,75944,37495,38318,131,64454,31034,33351,51729,25592,26137,0,0,47760,23826,23466,468,45570,21809,23753
New Mexico,798319,385234,319667,74541,783757,415335,335788,830158,472422,346832,756304,370942,376930,598605,286783,286417,21251,556074,273495,232751,32257,569986,261617,212824,91895,521287,244497,270341,514370,201769,307101,456237,167826,250779,29459,416590,201148,211419,385931,141084,235606,327281,130081,169692,25737,327615,194017,131838,311107,156027,153733,1347,253926,106098,146788,1040,238608,105661,132170,187063,105464,80303,0,1037,152225,81389,70688,183258,103699,79315,169136,106037,61727,151606,95089,54217,1776,118014,48211,69645,112830,48542,54745,9543,105406,46668,57634,0,66787,33527,31152,1996,49376,20437,17733,8347,2859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New York,7721453,4556124,2819534,176598,7081536,4485877,2490496,7640948,4804945,2752771,7391954,4314280,2962567,6831178,4113791,2405676,244398,6316129,3756177,1933492,503458,6926925,3444450,2346649,1090721,6485683,3347882,3081871,6806810,3119609,3664763,6201959,2728372,2893831,467801,6534420,3389558,3100791,7161830,2951084,4192778,6790066,3378470,3007932,358864,7166015,4913156,2243559,7291079,3830085,3446419,14575,7093336,2750769,4340340,2227,7128241,3104601,3952815,6178502,2780204,2841163,16,509559,6316817,3304238,2987647,6313897,3251918,3027478,5596398,3293222,2180670,4688614,2534959,1937963,177397,4405626,2089863,2193344,3263939,950796,1820058,474913,2898513,781238,1871167,203201,1706305,759426,879238,45944,1588315,655573,455487,390093,63434,1638350,667468,870070,38451,1617770,683981,859533,36883,1548042,678462,822013,1423876,551369,819838,1336793,654868,609350,16429,1319748,635965,650338,1167169,563154,562005,1103945,534511,555544,12373,1015503,521949,489207,828020,387282,440738,849771,429883,419888,730721,361986,368735,675156,312510,362646,0,0,596486,195878,276004,124604,522294,262083,234882,25329,455944,114319,218583,120497,485882,237588,232482,15812,441543,212733,226001,305343,166795,138548,0,0,323393,168497,154896,0,270975,139412,131563
North Carolina,4741564,2189316,2362631,130126,4505372,2178391,2270395,4310789,2142651,2128474,3501007,1525849,1961166,2911262,1257692,1631163,0,2515807,1107849,1225938,168059,2611850,1114042,1134661,357864,2134370,890167,1237258,2175361,824287,1346481,1855833,875635,915018,52800,1677906,927365,741960,1518612,438705,1054889,1587493,464113,627192,496188,1424983,800139,624844,1368556,713136,655420,0,1165592,590530,575062,0,1210910,652803,558107,791209,459070,258572,69652,3915,790554,527399,263155,822648,609015,213633,839464,616141,223283,711501,497566,208344,5591,635150,286227,348923,482687,284270,191753,6651,538758,305447,232848,446,289835,168383,120890,509,243918,144507,29139,69130,1025,252554,136928,114887,372,207818,124091,82442,124,292518,157733,132997,331337,174408,155122,280270,132951,100346,44336,285563,147902,134784,268356,142905,125021,240946,124204,115616,1126,233911,125427,108484,165163,70130,94772,181498,84559,96939,,,,96712,2737,0,48846,45129,84963,48243,0,36720,78891,39788,39043,0,79852,35772,44054,0,82521,39287,43232,0,80735,34168,46567,50153,26631,0,23521,0,29799,25261,4538,0,51747,37814,13918
North Dakota,344360,93758,216794,21434,322627,124827,188163,317738,141403,168887,312833,111052,196651,288267,95284,174852,9497,266411,106905,125050,32515,308133,99168,136244,71084,297261,127739,166559,308971,104429,200336,301545,79189,193695,23640,297094,136078,153470,280514,100384,174109,247882,94769,138669,14244,258389,149784,108207,278431,123963,154310,158,253991,96742,156766,483,270127,76694,191712,220716,95812,115139,374,8391,220171,100144,118535,280775,124036,154590,273716,163148,72751,256290,178350,71772,3521,239867,106648,131441,199081,13858,94931,89922,205776,37422,160072,8282,115390,55206,53471,5716,86580,29555,23090,25726,6966,94525,32885,57680,2421,70014,14273,52595,2009,84216,33385,46526,47391,20686,26335,36118,0,17519,17700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ohio,5536528,2394164,2841005,174498,5590934,2827709,2661437,5721831,2940044,2677820,5627908,2741167,2859768,4705457,2186190,2351209,117857,4534434,2148222,1859883,483207,4939964,1984942,1894310,1036426,4393699,1939629,2416549,4547619,1825440,2678560,4283603,1752414,2206545,254472,4111873,2011621,2000505,4094787,1558889,2441827,3959698,1700586,1791014,467495,3969196,2498331,1470865,4161859,1944248,2217611,0,3702265,1439655,2262610,0,3700758,1600367,2100391,2936071,1452791,1445684,0,37596,3153056,1570763,1582293,3319912,1733139,1586773,3012589,1747140,1127855,2609728,1301695,1227319,64094,2508346,864210,1627546,2016237,477888,1176130,357948,2021653,780037,1182022,57147,1165086,604161,514753,38092,1037094,424834,278168,229807,90144,1121552,502721,572312,33795,1004393,344674,600095,36260,1040073,474882,543918,1014295,477497,525991,850164,404115,405187,14850,840361,396455,416054,784610,368280,400082,724967,340821,375048,6456,658649,323182,330698,529436,244321,281852,518788,238621,280167,471253,205599,265654,432862,187421,221809,11303,12193,386497,170874,187497,28126,353188,168933,152523,31732,328479,154773,138359,35347,312224,149061,155113,8050,273842,124782,148157,202333,96238,104958,0,0,158294,81246,76539,509,130993,67597,63396
Oklahoma,1452992,420375,949136,83481,1334872,443547,891325,1462661,502496,960165,1463758,503966,959792,1234229,474276,744337,0,1206713,488105,582315,130788,1390359,473066,592929,319878,1171036,483423,678367,1255676,385080,861530,1149708,402026,695570,38284,1092251,532442,545708,1029900,247147,759025,943086,301658,449697,191731,932499,519834,412665,903150,370111,533039,0,859350,385581,473769,0,948984,430939,518045,721599,452782,268817,0,0,722636,401549,319424,826212,474313,348872,749740,501069,245122,704633,516468,188165,0,618427,219174,394046,528415,255798,226242,46375,486610,217053,243831,25726,292416,148113,97233,45190,253801,119156,90786,0,41674,254983,122363,110474,21734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,2001336,1002106,782403,94231,1789270,970488,754175,1827864,1037291,738475,1836782,943163,866831,1533968,720342,713577,77357,1377760,649641,538152,121221,1462643,621314,475757,354091,1201694,616206,560126,1226527,536479,685700,1181516,456890,571044,112389,1029876,490407,492120,927946,392760,486686,819622,358866,408433,49683,786305,501017,282779,776421,367402,408060,959,735597,329204,406393,0,695059,270579,420815,524080,243147,260904,0,14978,480147,248635,225365,481240,258415,219555,414021,266733,122706,368808,213871,136019,15450,319942,109223,205341,279488,67589,142579,68403,238522,80019,143592,9801,261650,120087,126813,9711,137040,47064,34673,37600,13343,110889,38049,62530,7339,90154,17521,60455,7619,83251,32810,46172,97414,46739,48779,78491,14243,35002,26965,61853,26522,33291,52682,24604,26860,40823,19955,20619,249,29881,14157,15214,20147,7742,11818,22086,11125,10961,18345,8457,9888,14761,4131,5344,5074,212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,6166708,2926441,2970733,146715,5754939,2990274,2680434,6015476,3276363,2655885,5769590,2938095,2793847,4913119,2485967,2281127,103392,4506118,2215819,1801169,430984,4959810,2239164,1791841,902667,4536251,2194944,2300087,4844903,2228131,2584323,4561501,1937540,2261872,292921,4620787,2328677,2205604,4592105,1796951,2714521,4747928,2259405,2090017,378582,4822690,3130954,1673657,5006541,2556282,2439956,10303,4576503,1981769,2585252,9482,4580969,2146269,2415789,3735148,1752426,1902197,0,55161,3794793,1940479,1835054,4078714,2171035,1889848,4138426,2353987,1690200,2859177,1295948,1453540,91223,3150610,1067586,2055382,2144850,409192,1401481,307567,1852616,503843,1218216,70571,1297292,521784,703823,42638,1217736,395637,273360,444894,83614,1267450,448782,745779,33914,1236738,337998,840949,21863,1173210,424232,712665,1194355,433228,728300,1003010,452264,516011,8714,997568,446633,526091,903864,392785,478804,874783,407428,444704,20668,758993,366204,384184,563262,212041,349589,655662,313382,342280,572707,276316,296391,476442,16765,268030,178871,12776,460161,230686,147286,82189,387839,198562,179104,8495,368552,171976,185313,11263,331572,167447,161125,3000,288026,143676,144010,178692,91457,87235,0,0,158638,91949,0,66689,152500,101652,50848
Rhode Island,464144,252525,180543,14746,446049,279677,157204,471766,296571,165391,437134,259760,169046,409112,249508,130555,25052,390284,233050,104683,43723,453478,213299,131601,105045,404620,225123,177761,410492,197106,212080,416072,198342,154793,59819,411170,227636,181249,415808,194645,220383,385000,246518,122359,15678,390091,315463,74615,405535,258032,147502,1,387611,161790,225819,2,414498,203293,210935,327702,188736,135787,0,2619,299276,175356,123487,321148,182182,138653,311178,165238,125031,266170,146604,115266,3138,237194,118973,117522,210115,76606,125286,7628,167981,55062,107463,4351,87816,40394,44858,1914,77894,30412,27703,16878,2049,72317,24706,43942,1365,68656,24839,41605,956,56548,19812,33784,54785,14459,37437,53196,24336,26975,228,40775,17530,21969,32771,12391,19030,29235,10779,18195,236,26627,10712,15787,18994,5329,13665,19541,6548,12993,22432,8470,13962,19951,7707,12244,0,0,19822,6680,11467,1675,17005,8735,7626,644,11155,3646,6779,730,12296,4867,7322,107,8621,3301,5278,5674,2964,2710,0,0,4936,2126,2810,0,3575,821,2754
South Carolina,2103027,855373,1155389,49204,1964118,865941,1071645,1920969,862449,1034896,1617730,661699,937974,1383777,566039,786426,20279,1149457,504051,573458,64386,1202527,479514,577507,138872,986009,370554,606443,968540,344470,615539,890083,427560,441207,14150,802594,450825,346140,677880,189270,478427,666982,197486,254062,215430,524756,215700,309048,386688,198129,188558,1,300583,136372,75700,88511,341086,173004,168082,142571,34423,5386,102607,154,103375,90601,4610,99832,95470,4360,115437,113791,1646,104407,102347,1978,82,68605,62700,5858,50752,49008,1123,620,66808,64170,2610,28,63952,61846,1550,135,50405,48357,536,1293,164,66379,62288,3945,100,55118,52563,2554,0,50812,47233,3579,68938,58801,9313,70504,54680,13345,2407,79997,65824,13736,92812,69845,21730,169793,111236,57954,567,182683,90897,91786,95452,22699,72290,107538,45237,62301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Dakota,370093,117458,227721,20850,363815,145039,210610,381975,170924,203054,388215,149244,232584,316269,118804,190700,0,323826,139333,150543,31250,336254,124888,136718,73295,312991,145560,165415,317867,116113,200267,327703,103855,198343,21431,300678,147068,151505,307415,139945,166476,281264,118023,149841,13400,293118,163010,130108,306487,128070,178417,0,293857,122288,171569,0,294283,90426,203857,250105,117653,129651,0,2801,232076,96711,135365,308427,131362,177065,296452,160137,125977,288438,183515,99212,1551,261865,102660,157603,203868,27214,101299,75355,182237,35938,110692,0,128942,59191,64217,3760,116325,48942,0,58811,4662,114775,40266,67536,2846,101395,21969,72083,3138,96124,39544,54530,82950,41225,41042,70513,9081,34888,26544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tennessee,2508027,870695,1522925,70397,2460904,960709,1462330,2601982,1087437,1479178,2434949,1035160,1383336,2076181,981720,1061949,19781,1894105,909146,863530,105918,1982638,933521,841300,199968,1636250,679794,947233,1711993,711714,990212,1617616,783051,787761,35991,1476346,825879,633969,1201182,357293,813147,1248617,351233,472592,424792,1143946,634947,508965,1051792,481453,556577,13762,939404,456507,462288,20609,892553,443710,446147,550283,270402,202914,73815,1864,510692,308707,200311,522823,351601,169153,475538,327083,146520,390256,259473,126752,1796,363473,167343,195388,300220,158682,130728,10610,428626,206558,219829,2239,272190,153280,116223,2542,251933,133021,60475,54041,3564,257180,135608,117977,1870,242750,131653,105363,1354,273860,145240,123108,320903,167168,148683,265732,136468,100537,23918,303694,158699,138978,259978,133770,124101,243263,129569,107677,6017,222743,133177,89566,179046,93391,85655,82757,26129,56628,,,,146106,11281,0,65097,69728,133582,69704,0,63878,115486,56900,58586,0,122463,58142,64321,0,119957,59917,60040,0,108145,47951,60194,62197,26170,0,36027,0,29425,28078,1347,0,46533,44293,2240
Texas,8969226,3877868,4685047,283492,7999532,3308124,4569843,8087791,3528633,4479328,7410765,2832704,4526917,6407637,2433746,3799639,137994,5611644,2459683,2736167,378537,6154018,2281815,2496071,1354781,5427410,2352748,3036829,5397571,1949276,3433428,4541637,1881147,2510705,111613,4071884,2082319,1953300,3472714,1154291,2298896,3079406,1266804,1227844,584269,2626811,1663185,958566,2311084,1167567,1121310,22207,1955545,859958,1080619,14968,2075946,969228,1102878,1249577,824235,303467,113776,3920,1150331,821605,191425,1124531,909974,212692,849736,739952,104661,863426,760348,97959,4450,708999,341032,367036,657509,484605,130023,42881,486641,288767,114538,8121,372461,286514,64999,18963,301778,219489,28530,26745,24896,293757,217302,65666,7870,234008,167200,51242,2791,423706,267432,130641,544786,370434,167520,422145,239148,81144,99688,357513,234883,88422,325305,225309,93141,241726,156428,57893,27405,149555,104755,44800,116594,66546,47468,,,,,,,62986,0,0,47548,15438,46808,31169,0,15639,18547,13552,4995,0,15177,10668,4509,0,,,,,,,,,,,,,,,,,,,
Utah,1143601,310676,515231,39608,1020861,251813,740600,958996,327670,596030,927844,241199,663742,770754,203053,515096,35850,665629,221633,361911,66461,744069,183429,322632,203400,647008,207343,428442,629656,155369,469105,604222,124266,439687,30284,541198,182110,337908,478476,126284,323643,422568,156665,238728,26906,400310,219628,180682,374709,169248,205361,100,333995,118364,215631,0,329554,135364,194190,276305,149151,124402,0,2679,248319,150088,97891,247819,154277,93151,216677,150246,64555,206578,116750,84795,4087,176603,80985,94618,156990,47001,77327,32662,145828,56639,81555,3159,143146,84145,54137,4460,112386,36579,42100,24174,9023,108613,42601,61028,4895,101672,33413,62446,5767,93189,45006,47139,78119,64607,13491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
