Year,2016,,,,2012,,,2008,,,2004,,,2000,,,,1996,,,,1992,,,,1988,,,1984,,,1980,,,,1976,,,1972,,,1968,,,,1964,,,1960,,,,1956,,,,1952,,,1948,,,,,1944,,,1940,,,1936,,,1932,,,,1928,,,1924,,,,1920,,,,1916,,,,1912,,,,,1908,,,,1904,,,,1900,,,1896,,,1892,,,,1888,,,1884,,,1880,,,,1876,,,1872,,,1868,,,1864,,,1860,,,,,1856,,,,1852,,,,1848,,,,1844,,,,1840,,,1836,,,,,1832,,,,1828,,
Delaware,443814,235603,185127,14757,413921,242584,165484,412616,255459,152374,375270,200152,171660,327622,180068,137288,8307,271084,140355,99062,28719,289735,126054,102313,59213,249891,108647,139639,254572,101656,152190,235668,105754,111252,16288,235834,122596,109831,235516,92283,140357,214367,89194,96714,28459,201320,122704,78078,196683,99590,96373,720,177988,79421,98057,510,174025,83315,90059,139073,67813,69588,0,1050,125361,68166,56747,136374,74599,61440,127603,69702,57236,112901,54319,57073,1376,105891,36643,68860,90885,33445,52441,4979,94875,39911,52858,988,51810,24753,26011,480,48694,22631,15998,8886,556,48007,22055,25014,239,43856,19347,23705,146,41989,18852,22535,38456,16574,20450,37235,18581,18077,0,29764,16414,12950,29984,16957,12953,29458,15181,14148,129,24133,13381,10752,21822,10205,11129,18571,10957,7614,16922,8767,8155,16115,1066,3822,7339,3888,14598,8004,310,6275,12673,6318,6293,62,12432,5910,6440,82,12247,5970,6271,0,10852,4872,5967,8895,4154,4736,0,0,8386,4110,4276,0,,,
Florida,9501617,4504975,4617886,207043,8492175,4237756,4163447,8412248,4282367,4046219,7609810,3583544,3964522,5963110,2912253,2912790,97488,5303794,2546870,2244536,483870,5314392,2072698,2173310,1053067,4302313,1656701,2618885,4180051,1448816,2730350,3687026,1419475,2046951,189692,3150631,1636000,1469531,2583283,718117,1857759,2187805,676794,886804,624207,1854481,948540,905941,1544176,748700,795476,0,1124220,480371,643849,0,989337,444950,544036,577643,281988,194280,89755,11620,482592,339377,143215,485492,359334,126158,327432,249117,78248,276252,206307,69170,775,253674,101764,144168,109154,62083,30633,8625,145681,90515,44853,5189,80734,55984,14611,5353,50837,35343,4279,4555,4806,49360,31104,10654,3747,38705,26449,8314,2337,39649,28273,7355,46488,32756,11298,35471,30153,0,4843,66500,39557,26529,59990,31769,28031,51618,27964,23654,0,46776,22927,23849,33190,15427,17763,,,,,,,13301,223,0,8277,4801,11191,6358,0,4833,7193,4318,2875,0,7203,3083,4120,0,,,,,,,,,,,,,,,,,,,
Georgia,4141445,1877963,2089104,125306,3908369,1773827,2078688,3932158,1844123,2048759,3304481,1366149,1914254,2596804,1116230,1419720,13432,2299071,1053849,1080843,146337,2321133,1008966,995252,309657,1809672,714792,1081331,1776093,706628,1068722,1597467,890733,654168,36055,1467458,979409,483743,1174772,289529,881496,1250266,334440,380111,535550,1139336,522557,616584,733349,458638,274472,239,663480,441094,216652,5734,655803,456823,198979,418764,254646,76691,85055,1636,328109,268187,59880,312551,265194,46360,293178,255364,36942,255590,234118,19863,461,229158,129602,99368,166577,123200,30300,12691,148716,107162,41089,465,160681,127754,11294,941,121470,93087,5191,21985,1058,132504,72350,41355,584,130986,83466,24004,196,121410,81180,34260,162480,93885,59395,223126,129446,48408,41939,142936,100493,40499,143610,94667,48603,157451,102981,54470,0,180690,130157,50533,138906,76356,62550,159816,102707,57109,,,,106717,11581,0,52176,42960,99020,56581,0,42439,62626,40516,16660,0,92317,44785,47532,0,86247,44147,42100,0,72322,31983,40339,47259,22778,0,24481,0,20750,20750,0,0,20004,19362,642
Hawaii,428937,266891,128847,15954,434697,306658,121015,453568,325871,120566,429013,231708,194191,367951,205286,137845,21623,360120,205012,113943,27358,372842,179310,136822,53003,354461,192364,158625,335846,147154,185050,303287,135879,130112,32021,291301,147375,140003,270274,101409,168865,236218,141324,91425,3469,207271,163249,44022,184705,92410,92295,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,690433,189765,409055,28331,656742,212787,420911,658454,236440,403012,598447,181098,409235,501621,138637,336937,12292,491719,165443,256595,62518,482142,137013,202645,130395,408968,147272,253881,411144,108510,297523,437431,110192,290699,27058,340932,126549,204151,310379,80826,199384,291183,89273,165369,36541,292477,148920,143557,300450,138853,161597,0,272989,105868,166979,142,276231,95081,180707,214816,107370,101514,0,4972,208321,107399,100137,235168,127842,106553,199617,125683,66256,186625,109479,71417,526,151541,52926,97322,148295,24256,69879,54160,135624,46579,88975,38,134615,70054,55368,8066,105754,33921,32810,25527,11960,97293,36162,52621,6400,72578,18480,47783,4949,57914,29414,27198,29621,23135,6314,19407,0,8599,10520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illinois,5594420,3090729,2146015,209596,5251432,3019512,2135216,5530179,3419348,2031179,5274322,2891550,2345946,4742123,2589026,2019421,103759,4311391,2341744,1587021,346408,5050157,2453350,1734096,840515,4559120,2215940,2310939,4819088,2086499,2707103,4749721,1981413,2358049,346754,4718833,2271295,2364269,4723236,1913472,2788179,4619749,2039814,2174774,390958,4702841,2796833,1905946,4757409,2377846,2368988,10575,4407407,1775682,2623327,8398,4481058,2013920,2457327,3984046,1994715,1961103,0,0,4036061,2079479,1939314,4217935,2149934,2047240,3956522,2282999,1570393,3407926,1882304,1432756,67258,3107489,1313817,1769141,2470067,576975,1453321,432027,2094714,534395,1420480,74747,2192707,950229,1152549,61394,1146173,405048,253593,386478,81278,1155254,450810,629932,34711,1076499,327606,632645,69225,1131897,503061,597985,1090869,465613,607130,873647,426281,399288,22207,747813,348351,370475,672670,312351,337469,622305,277321,318036,26358,554227,258611,278232,429971,184884,241936,449420,199116,250304,348236,158724,189512,339666,160215,172171,2331,4914,239334,105528,96275,37531,154974,80378,64733,9863,124596,55952,52853,15702,109057,58795,45854,3469,93175,47441,45574,33589,18369,15220,0,0,21481,14609,6745,97,14222,9560,4662
Indiana,2757828,1033126,1557286,133993,2633143,1154275,1422872,2756658,1374039,1345648,2468002,969011,1479438,2199302,901980,1245836,18531,2135842,887424,1006693,224299,2305871,848420,989375,455934,2168621,860643,1297763,2233069,841481,1377230,2242033,844197,1255656,111639,2220362,1014714,1183958,2125529,708568,1405154,2123597,806659,1067885,243108,2091606,1170848,911118,2135360,952358,1175120,7882,1974607,783908,1182811,7888,1955325,801530,1136259,1656214,807833,821079,0,9649,1672091,781403,875891,1782747,874063,899466,1650897,934974,691570,1576927,862054,677184,21388,1421314,562691,848290,1272390,492245,703042,71700,1262964,511364,696370,24703,718848,334063,341005,21855,654474,281890,151267,162007,36931,721126,338262,348993,13476,682185,274345,368289,12013,664094,309584,336063,637119,305573,323754,553613,262740,255615,22208,536949,261013,263361,495332,245005,238489,470672,225522,232164,12986,438911,213526,208011,351196,163632,186147,343532,166980,176552,280655,130233,150422,272143,115509,139033,12295,5306,235431,118670,94375,22386,183170,95340,80901,6929,152752,74745,69907,8100,140154,70181,67867,2106,116906,51604,65302,73759,32478,41281,0,0,47023,31551,15472,0,39309,22257,17052
Iowa,1566031,653669,800983,59186,1582180,822544,730617,1537123,828940,682379,1506908,741898,751957,1315563,638517,634373,29374,1234075,620258,492644,105159,1354607,586353,504891,253468,1225614,670557,545355,1319805,605620,703088,1317661,508672,676026,115633,1279306,619931,632863,1225944,496206,706207,1167931,476699,619106,66422,1184539,733030,449148,1273810,550565,722381,864,1234564,501858,729187,3519,1268773,451513,808906,1038272,522380,494018,0,12125,1052599,499876,547267,1215430,578800,632370,1142733,621756,487977,1036687,598019,414433,20467,1009489,379311,623570,976770,160382,537458,274448,895082,227921,634674,16981,516944,221699,280439,10976,492356,185325,119805,161819,16967,494769,200771,275209,8287,486093,149276,308158,14849,530355,209265,307808,521547,223741,289293,443159,196367,219795,20595,404135,179877,211603,377201,177316,197089,322668,105845,183904,32327,292878,112121,171326,216365,71189,131566,194439,74040,120399,138025,49525,88500,128739,55639,70302,1035,1763,92310,37568,45073,9669,35364,17763,15856,1606,22271,11238,9930,1103,,,,,,,,,,,,,,,,,,,
Kansas,1194755,427005,671018,55406,1156254,439908,689809,1238873,514765,699655,1187756,434993,736456,1072216,399276,622332,36086,1074300,387659,583245,92639,1157236,390434,449951,312358,993044,422636,554049,1021991,333149,677296,979795,326150,566812,68231,957845,430421,502752,916095,270287,619812,872783,302996,478674,88921,857901,464028,386579,928825,363213,561474,4138,866243,296317,566878,3048,896166,273296,616302,788819,351902,423039,0,4603,733776,287458,442096,860297,364725,489169,865514,464520,397727,791978,424204,349498,18276,713200,193003,513672,662454,156319,407671,98461,570318,185464,369268,15511,629813,314588,277658,24685,365560,143663,74845,120210,26779,375946,161209,197216,12420,328561,86174,212955,15869,353766,162601,185955,334547,171675,159345,324905,0,157241,163111,331149,102745,182904,265848,90132,154406,201236,59801,121549,19851,124134,37902,78324,100512,32970,66805,43630,13600,30027,21580,3836,17089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,1924149,628854,1202971,53752,1798048,679370,1087190,1827587,751985,1048462,1796079,712733,1069439,1544187,638898,872492,23192,1388708,636614,623283,120396,1492900,665104,617178,203944,1322517,580368,734281,1370461,539589,822782,1294627,616417,635274,31127,1167142,615717,531852,1067499,371159,676446,1055893,397541,462411,193098,1046105,669659,372977,1124462,521855,602607,0,1053805,476453,572192,5160,993148,495729,495029,822658,466756,341210,10411,1567,867921,472589,392448,970163,557322,410384,926206,541944,369702,983063,580574,394716,3853,941274,381070,558734,815332,374855,398966,38465,918636,456497,452480,6409,520075,269990,241854,4734,452714,219484,115510,101766,11646,490719,244092,235711,4093,435946,217170,205457,3599,468265,235126,227132,445928,217894,218171,340864,175461,135462,23500,344868,183830,155138,276481,152961,118690,267104,148875,106490,11506,260626,160060,97568,191135,99995,88766,155455,115889,39566,92088,64301,27787,146216,25651,1364,53143,66058,142058,74642,0,67416,111643,53949,57428,266,116865,49720,67145,0,113237,51988,61249,0,91104,32616,58488,70090,33229,36861,0,0,79741,36292,43449,0,70776,39308,31468
