Year,Candidate,Party,State,Votes,Pct
1912,"Roosevelt, Theodore ""Teddy""","Progressive ""Bull Moose""",Nationwide,4120609,27.387567058051598
1912,"Debs, Eugene",Socialist,Nationwide,900742,5.986768442966444
1908,Total,Total,Nationwide,14889239,100.0
1908,"Bryan, William",Democratic,Nationwide,6408979,43.04436915815509
1908,"Taft, William",Republican,Nationwide,7678335,51.5696940589106
1908,"Debs, Eugene",Socialist,Nationwide,420852,2.826551444301485
1904,Total,Total,Nationwide,13525095,100.0
1904,"Parker, Alton",Democratic,Nationwide,5083880,37.5884975299619
1904,"Roosevelt, Theodore (Teddy)",Democratic,Nationwide,7630557,56.41777007850961
1904,"Debs, Eugene",Socialist,Nationwide,402810,2.978241557637858
1900,Total,Total,Nationwide,13997429,100.0
1900,"Bryan, William",Democratic,Nationwide,6370932,45.51501565037408
1900,"McKinley, William",Republican,Nationwide,7228864,51.644226950534986
1896,Total,Total,Nationwide,13938674,100.0
1896,"Bryan, William",Democratic,Nationwide,6510807,46.71037575023277
1896,"McKinley, William",Republican,Nationwide,7112138,51.024494869454585
1892,Total,Total,Nationwide,12068027,100.0
1892,"Cleveland, Grover",Democratic,Nationwide,5553898,46.02159077038856
1892,"Harrison, Benjamin",Republican,Nationwide,5190799,43.0128222285217
1892,"Weaver, James",Populist,Nationwide,1026595,8.506734365112044
1888,Total,Total,Nationwide,11388846,100.0
1888,"Cleveland, Grover",Democratic,Nationwide,5538163,48.62795580869212
1888,"Harrison, Benjamin",Republican,Nationwide,5443633,47.79793317075321
1884,Total,Total,Nationwide,10060145,100.0
1884,"Cleveland, Grover",Democratic,Nationwide,4914482,48.85100562665846
1884,"Blaine, James",Republican,Nationwide,4856903,48.27865801139049
1880,Total,Total,Nationwide,9217410,100.0
1880,"Hancock, Winfield",Democratic,Nationwide,4444267,48.216006448666164
1880,"Garfield, James",Republican,Nationwide,4453337,48.314407192475976
1880,"Weaver, James",Greenback,Nationwide,306135,3.3212692068596277
1876,Total,Total,Nationwide,8418659,100.0
1876,"Tilden, Samuel",Democratic,Nationwide,4286808,50.920318782361896
1876,"Hayes, Rutherford",Republican,Nationwide,4034142,47.919056942441784
1872,Total,Total,Nationwide,6471983,100.0
1872,"Greeley, Horace",Liberal Republican/Democratic,Nationwide,2833710,43.78426210328426
1872,"Grant, Ulysses",Republican,Nationwide,3597439,55.58480298851217
1868,Total,Total,Nationwide,5722816,100.0
1868,"Seymour, Horatio",Democratic,Nationwide,2708980,47.336486093559536
1868,"Grant, Ulysses",Republican,Nationwide,3013790,52.66271010635324
1864,Total,Total,Nationwide,4018202,100.0
1864,"McClellan, George",Democratic,Nationwide,1806227,44.95112490611473
1864,"Lincoln, Abraham",National Union (Republican),Nationwide,2211317,55.032499610522315
1860,Total,Total,Nationwide,4681267,100.0
1860,"Douglas, Stephen",(Northern) Democratic,Nationwide,1381944,29.520725906042102
1860,"Lincoln, Abraham",Republican,Nationwide,1855993,39.6472365280596
1860,"Breckinridge, John",Southern Democratic,Nationwide,851844,18.19686849735339
1860,"Bell, John",Constitutional Union,Nationwide,590946,12.623633729928244
1856,Total,Total,Nationwide,4051605,100.0
1856,"Buchanan, James",Democratic,Nationwide,1835140,45.294148861994195
1856,"Fremont, John",Republican,Nationwide,1340668,33.089800214976535
1856,"Fillmore, Millard","Fillmore, Millard",Nationwide,872703,21.539686124387742
1852,Total,Total,Nationwide,3159640,100.0
1852,"Pierce, Franklin",Democratic,Nationwide,1605943,50.8267714043372
1852,"Scott, Winfield",Whig,Nationwide,1386418,43.87898621361927
1852,"Hale, John",Free Soil,Nationwide,155799,4.9309098504892965
1848,Total,Total,Nationwide,2876818,100.0
1848,"Cass, Lewis",Democratic,Nationwide,1222353,42.48975778099275
1848,"Taylor, Zachary",Whig,Nationwide,1360235,47.28262267546991
1848,"Van Buren, Martin",Free Soil,Nationwide,291475,10.13185401370542
1844,Total,Total,Nationwide,2703864,100.0
1844,"Polk, James",Democratic,Nationwide,1339570,49.54280244864387
1844,"Clay, Henry",Whig,Nationwide,1300157,48.08514777370459
1844,"Birney, James",Liberty,Nationwide,62054,2.2950118792957044
1840,Total,Total,Nationwide,2412694,100.0
1840,"Van Buren, Martin",Democratic,Nationwide,1129645,46.820898132958426
1840,"Harrison, William",Whig,Nationwide,1275583,52.86965524844842
1836,Total,Total,Nationwide,1502811,100.0
1836,"Van Buren, Martin",Democratic,Nationwide,763291,50.7908845490218
1836,"Harrison, William",Whig,Nationwide,549907,36.591893458325764
1836,"White, Hugh",Whig,Nationwide,146107,9.722247175459854
1836,"Webster, Daniel",Whig,Nationwide,41201,2.741595583210397
1832,Total,Total,Nationwide,1283720,100.0
1832,"Jackson, Andrew",Democratic,Nationwide,702735,54.742077711650516
1832,"Clay, Henry",National Republican,Nationwide,474107,36.932274950923876
1832,"Wirt, William",Anti-Masonic,Nationwide,99817,7.775605272177733
1828,Total,Total,Nationwide,1149216,100.0
1828,"Jackson, Andrew",Democratic,Nationwide,642806,55.934306518530896
1828,"Adams, John Quincy",National Republican,Nationwide,501967,43.67908208726645
2016,Total,Total,Alabama,2123372,100.0
2016,"Clinton, Hillary",Democratic,Alabama,729547,34.35794575797364
2016,"Trump, Donald",Republican,Alabama,1318255,62.08309236440906
2016,"Johnson, Gary",Libertarian,Alabama,44467,2.0941690857748902
2012,Total,Total,Alabama,2074338,100.0
2012,"Obama, Barack",Democratic,Alabama,795696,38.35903309875247
2012,"Romney, Mitt",Republican,Alabama,1255925,60.54582232982282
2008,Total,Total,Alabama,2099819,100.0
2008,"Obama, Barack",Democratic,Alabama,813479,38.74043429457491
2008,"McCain, John",Republican,Alabama,1266546,60.31691302917061
2004,Total,Total,Alabama,1883449,100.0
2004,"Kerry, John",Democratic,Alabama,693933,36.84373720764406
2004,"Bush, George W.",Republican,Alabama,1176394,62.45956221803723
2000,Total,Total,Alabama,1672551,100.0
2000,"Gore, Al",Democratic,Alabama,695602,41.58928487083503
2000,"Bush, George W.",Republican,Alabama,944409,56.46518402129442
2000,"Nader, Ralph",Green,Alabama,18349,1.0970666963219657
1996,Total,Total,Alabama,1534349,100.0
1996,"Clinton, Bill",Democratic,Alabama,662165,43.15608769582409
1996,"Dole, Bob",Republican,Alabama,769044,50.121843205163884
1996,"Perot, Ross",Reform,Alabama,92149,6.005739241854363
1992,Total,Total,Alabama,1688060,100.0
1992,"Clinton, Bill",Democratic,Alabama,690080,40.88006350485173
1992,"Bush, George H.W.",Republican,Alabama,804283,47.64540359939812
1992,"Perot, Ross",Independent,Alabama,183109,10.847304005781785
1988,Total,Total,Alabama,1378476,100.0
1988,"Dukakis, Michael",Democratic,Alabama,549506,39.863298309147204
1988,"Bush, George H.W.",Republican,Alabama,815576,59.16504893810266
1984,Total,Total,Alabama,1441713,100.0
1984,"Mondale, Walter",Democratic,Alabama,551899,38.28078126506455
1984,"Reagan, Ronald",Republican,Alabama,872849,60.54249354760621
1980,Total,Total,Alabama,1341929,100.0
1980,"Carter, Jimmy",Democratic,Alabama,636730,47.448859067804634
1980,"Reagan, Ronald",Republican,Alabama,654192,48.75012016284021
1980,"Anderson, John",Independent,Alabama,16481,1.2281573764334774
1976,Total,Total,Alabama,1182850,100.0
1976,"Carter, Jimmy",Democratic,Alabama,659170,55.72726888447394
1976,"Ford, Gerald",Republican,Alabama,504070,42.614870862746756
