Year,Candidate,Party,State,Votes
,"Dewey, Thomas",Republican,Idaho,101514
,"Thurmond, Strom","States' Rights ""Dixiecrat""",Idaho,0
,"Wallace, Henry",Progressive,Idaho,4972
1944,Total,Total,Idaho,208321
,"Roosevelt, Franklin (FDR)",Democratic,Idaho,107399
,"Dewey, Thomas",Republican,Idaho,100137
1940,Total,Total,Idaho,235168
,"Roosevelt, Franklin (FDR)",Democratic,Idaho,127842
,"Wilkie, Wendell",Republican,Idaho,106553
1936,Total,Total,Idaho,199617
,"Roosevelt, Franklin (FDR)",Democratic,Idaho,125683
,"Landon, Alf",Republican,Idaho,66256
1932,Total,Total,Idaho,186625
,"Roosevelt, Franklin (FDR)",Democratic,Idaho,109479
,"Hoover, Herbert",Republican,Idaho,71417
,"Thomas, Norman",Socialist,Idaho,526
1928,Total,Total,Idaho,151541
,"Smith, Al",Democratic,Idaho,52926
,"Hoover, Herbert",Republican,Idaho,97322
1924,Total,Total,Idaho,148295
,"Davis, John",Democratic,Idaho,24256
,"Coolidge, Calvin",Republican,Idaho,69879
,"LaFollette, Robert",Progressive,Idaho,54160
1920,Total,Total,Idaho,135624
,"Cox, John",Democratic,Idaho,46579
,"Harding, Warren",Republican,Idaho,88975
,"Debs, Eugene",Socialist,Idaho,38
1916,Total,Total,Idaho,134615
,"Wilson, Woodrow",Democratic,Idaho,70054
,"Hughes, Charles",Republican,Idaho,55368
,"Benson, Allan",Socialist,Idaho,8066
1912,Total,Total,Idaho,105754
,"Wilson, Woodrow",Democratic,Idaho,33921
,"Taft, William",Republican,Idaho,32810
,"Roosevelt, Theodore ""Teddy""","Progressive ""Bull Moose""",Idaho,25527
,"Debs, Eugene",Socialist,Idaho,11960
1908,Total,Total,Idaho,97293
,"Bryan, William",Democratic,Idaho,36162
,"Taft, William",Republican,Idaho,52621
,"Debs, Eugene",Socialist,Idaho,6400
1904,Total,Total,Idaho,72578
,"Parker, Alton",Democratic,Idaho,18480
,"Roosevelt, Theodore (Teddy)",Republican,Idaho,47783
,"Debs, Eugene",Socialist,Idaho,4949
1900,Total,Total,Idaho,57914
,"Bryan, William",Democratic,Idaho,29414
,"McKinley, William",Republican,Idaho,27198
1896,Total,Total,Idaho,29621
,"Bryan, William",Democratic,Idaho,23135
,"McKinley, William",Republican,Idaho,6314
1892,Total,Total,Idaho,19407
,"Cleveland, Grover",Democratic,Idaho,0
,"Harrison, Benjamin",Republican,Idaho,8599
,"Weaver, James",Populist,Idaho,10520
1888,Total,Total,Idaho,
,"Cleveland, Grover",Democratic,Idaho,
,"Harrison, Benjamin",Republican,Idaho,
1884,Total,Total,Idaho,
,"Cleveland, Grover",Democratic,Idaho,
,"Blaine, James",Republican,Idaho,
1880,Total,Total,Idaho,
,"Hancock, Winfield",Democratic,Idaho,
,"Garfield, James",Republican,Idaho,
,"Weaver, James",Greenback,Idaho,
1876,Total,Total,Idaho,
,"Tilden, Samuel",Democratic,Idaho,
,"Hayes, Rutherford",Republican,Idaho,
1872,Total,Total,Idaho,
,"Greeley, Horace",Liberal Republican/Democratic,Idaho,
,"Grant, Ulysses",Republican,Idaho,
1868,Total,Total,Idaho,
,"Seymour, Horatio",Democratic,Idaho,
,"Grant, Ulysses",Republican,Idaho,
1864,Total,Total,Idaho,
,"McClellan, George",Democratic,Idaho,
,"Lincoln, Abraham",National Union (Republican),Idaho,
1860,Total,Total,Idaho,
,"Douglas, Stephen",(Northern) Democratic,Idaho,
,"Lincoln, Abraham",Republican,Idaho,
,"Breckinridge, John",Southern Democratic,Idaho,
,"Bell, John",Constitutional Union,Idaho,
1856,Total,Total,Idaho,
,"Buchanan, James",Democratic,Idaho,
,"Fremont, John",Republican,Idaho,
,"Fillmore, Millard","Fillmore, Millard",Idaho,
1852,Total,Total,Idaho,
,"Pierce, Franklin",Democratic,Idaho,
,"Scott, Winfield",Whig,Idaho,
,"Hale, John",Free Soil,Idaho,
1848,Total,Total,Idaho,
,"Cass, Lewis",Democratic,Idaho,
,"Taylor, Zachary",Whig,Idaho,
,"Van Buren, Martin",Free Soil,Idaho,
1844,Total,Total,Idaho,
,"Polk, James",Democratic,Idaho,
,"Clay, Henry",Whig,Idaho,
,"Birney, James",Liberty,Idaho,
1840,Total,Total,Idaho,
,"Van Buren, Martin",Democratic,Idaho,
,"Harrison, William",Whig,Idaho,
1836,Total,Total,Idaho,
,"Van Buren, Martin",Democratic,Idaho,
,"Harrison, William",Whig,Idaho,
,"White, Hugh",Whig,Idaho,
,"Webster, Daniel",Whig,Idaho,
1832,Total,Total,Idaho,
,"Jackson, Andrew",Democratic,Idaho,
,"Clay, Henry",National Republican,Idaho,
,"Wirt, William",Anti-Masonic,Idaho,
1828,Total,Total,Idaho,
,"Jackson, Andrew",Democratic,Idaho,
,"Adams, John Quincy",National Republican,Idaho,
2016,Total,Total,Illinois,5594420
,"Clinton, Hillary",Democratic,Illinois,3090729
,"Trump, Donald",Republican,Illinois,2146015
,"Johnson, Gary",Libertarian,Illinois,209596
2012,Total,Total,Illinois,5251432
,"Obama, Barack",Democratic,Illinois,3019512
,"Romney, Mitt",Republican,Illinois,2135216
2008,Total,Total,Illinois,5530179
,"Obama, Barack",Democratic,Illinois,3419348
,"McCain, John",Republican,Illinois,2031179
2004,Total,Total,Illinois,5274322
,"Kerry, John",Democratic,Illinois,2891550
,"Bush, George W.",Republican,Illinois,2345946
2000,Total,Total,Illinois,4742123
,"Gore, Al",Democratic,Illinois,2589026
,"Bush, George W.",Republican,Illinois,2019421
,"Nader, Ralph",Green,Illinois,103759
1996,Total,Total,Illinois,4311391
,"Clinton, Bill",Democratic,Illinois,2341744
,"Dole, Bob",Republican,Illinois,1587021
,"Perot, Ross",Reform,Illinois,346408
1992,Total,Total,Illinois,5050157
,"Clinton, Bill",Democratic,Illinois,2453350
,"Bush, George H.W.",Republican,Illinois,1734096
,"Perot, Ross",Independent,Illinois,840515
1988,Total,Total,Illinois,4559120
,"Dukakis, Michael",Democratic,Illinois,2215940
,"Bush, George H.W.",Republican,Illinois,2310939
1984,Total,Total,Illinois,4819088
,"Mondale, Walter",Democratic,Illinois,2086499
,"Reagan, Ronald",Republican,Illinois,2707103
1980,Total,Total,Illinois,4749721
,"Carter, Jimmy",Democratic,Illinois,1981413
,"Reagan, Ronald",Republican,Illinois,2358049
,"Anderson, John",Independent,Illinois,346754
1976,Total,Total,Illinois,4718833
,"Carter, Jimmy",Democratic,Illinois,2271295
,"Ford, Gerald",Republican,Illinois,2364269
1972,Total,Total,Illinois,4723236
,"McGovern, George",Democratic,Illinois,1913472
,"Nixon, Richard",Republican,Illinois,2788179
1968,Total,Total,Illinois,4619749
,"Humphrey, Hubert",Democratic,Illinois,2039814
,"Nixon, Richard",Republican,Illinois,2174774
,"Wallace, George",American Independent,Illinois,390958
1964,Total,Total,Illinois,4702841
,"Johnson, Lyndon (LBJ)",Democratic,Illinois,2796833
,"Goldwater, Barry",Republican,Illinois,1905946
1960,Total,Total,Illinois,4757409
,"Kennedy, Jack (JFK)",Democratic,Illinois,2377846
,"Nixon, Richard",Republican,Illinois,2368988
,"Other (Unpledge Democratic, etc.)","Other (Unpledge Democratic, etc.)",Illinois,10575
1956,Total,Total,Illinois,4407407
,"Stevenson, Adlai",Democratic,Illinois,1775682
,"Eisenhower, Dwight",Republican,Illinois,2623327
,"Other (Unpledged Democratic, etc.)","Other (Unpledged Democratic, etc.)",Illinois,8398
1952,Total,Total,Illinois,4481058
,"Stevenson, Adlai",Democratic,Illinois,2013920
,"Eisenhower, Dwight",Republican,Illinois,2457327
1948,Total,Total,Illinois,3984046
,"Truman, Harry",Democratic,Illinois,1994715
,"Dewey, Thomas",Republican,Illinois,1961103
,"Thurmond, Strom","States' Rights ""Dixiecrat""",Illinois,0
,"Wallace, Henry",Progressive,Illinois,0
1944,Total,Total,Illinois,4036061
,"Roosevelt, Franklin (FDR)",Democratic,Illinois,2079479
,"Dewey, Thomas",Republican,Illinois,1939314
1940,Total,Total,Illinois,4217935
,"Roosevelt, Franklin (FDR)",Democratic,Illinois,2149934
,"Wilkie, Wendell",Republican,Illinois,2047240
1936,Total,Total,Illinois,3956522
,"Roosevelt, Franklin (FDR)",Democratic,Illinois,2282999
,"Landon, Alf",Republican,Illinois,1570393
1932,Total,Total,Illinois,3407926
,"Roosevelt, Franklin (FDR)",Democratic,Illinois,1882304
,"Hoover, Herbert",Republican,Illinois,1432756
,"Thomas, Norman",Socialist,Illinois,67258
1928,Total,Total,Illinois,3107489
,"Smith, Al",Democratic,Illinois,1313817
,"Hoover, Herbert",Republican,Illinois,1769141
1924,Total,Total,Illinois,2470067
,"Davis, John",Democratic,Illinois,576975
,"Coolidge, Calvin",Republican,Illinois,1453321
,"LaFollette, Robert",Progressive,Illinois,432027
1920,Total,Total,Illinois,2094714
,"Cox, John",Democratic,Illinois,534395
,"Harding, Warren",Republican,Illinois,1420480
,"Debs, Eugene",Socialist,Illinois,74747
1916,Total,Total,Illinois,2192707
,"Wilson, Woodrow",Democratic,Illinois,950229
,"Hughes, Charles",Republican,Illinois,1152549
,"Benson, Allan",Socialist,Illinois,61394
1912,Total,Total,Illinois,1146173
,"Wilson, Woodrow",Democratic,Illinois,405048
,"Taft, William",Republican,Illinois,253593
,"Roosevelt, Theodore ""Teddy""","Progressive ""Bull Moose""",Illinois,386478
,"Debs, Eugene",Socialist,Illinois,81278
1908,Total,Total,Illinois,1155254
,"Bryan, William",Democratic,Illinois,450810
,"Taft, William",Republican,Illinois,629932
,"Debs, Eugene",Socialist,Illinois,34711
1904,Total,Total,Illinois,1076499
,"Parker, Alton",Democratic,Illinois,327606
,"Roosevelt, Theodore (Teddy)",Republican,Illinois,632645
,"Debs, Eugene",Socialist,Illinois,69225
1900,Total,Total,Illinois,1131897
,"Bryan, William",Democratic,Illinois,503061
,"McKinley, William",Republican,Illinois,597985
1896,Total,Total,Illinois,1090869
,"Bryan, William",Democratic,Illinois,465613
,"McKinley, William",Republican,Illinois,607130
1892,Total,Total,Illinois,873647
,"Cleveland, Grover",Democratic,Illinois,426281
,"Harrison, Benjamin",Republican,Illinois,399288
,"Weaver, James",Populist,Illinois,22207
1888,Total,Total,Illinois,747813
,"Cleveland, Grover",Democratic,Illinois,348351
,"Harrison, Benjamin",Republican,Illinois,370475
1884,Total,Total,Illinois,672670
,"Cleveland, Grover",Democratic,Illinois,312351
,"Blaine, James",Republican,Illinois,337469
1880,Total,Total,Illinois,622305
,"Hancock, Winfield",Democratic,Illinois,277321
,"Garfield, James",Republican,Illinois,318036
,"Weaver, James",Greenback,Illinois,26358
1876,Total,Total,Illinois,554227
,"Tilden, Samuel",Democratic,Illinois,258611
,"Hayes, Rutherford",Republican,Illinois,278232
1872,Total,Total,Illinois,429971
,"Greeley, Horace",Liberal Republican/Democratic,Illinois,184884
,"Grant, Ulysses",Republican,Illinois,241936
1868,Total,Total,Illinois,449420
,"Seymour, Horatio",Democratic,Illinois,199116
,"Grant, Ulysses",Republican,Illinois,250304
1864,Total,Total,Illinois,348236
,"McClellan, George",Democratic,Illinois,158724
,"Lincoln, Abraham",National Union (Republican),Illinois,189512
1860,Total,Total,Illinois,339666
,"Douglas, Stephen",(Northern) Democratic,Illinois,160215
,"Lincoln, Abraham",Republican,Illinois,172171
,"Breckinridge, John",Southern Democratic,Illinois,2331
,"Bell, John",Constitutional Union,Illinois,4914
1856,Total,Total,Illinois,239334
,"Buchanan, James",Democratic,Illinois,105528
,"Fremont, John",Republican,Illinois,96275
,"Fillmore, Millard","Fillmore, Millard",Illinois,37531
1852,Total,Total,Illinois,154974
,"Pierce, Franklin",Democratic,Illinois,80378
,"Scott, Winfield",Whig,Illinois,64733
,"Hale, John",Free Soil,Illinois,9863
1848,Total,Total,Illinois,124596
,"Cass, Lewis",Democratic,Illinois,55952
,"Taylor, Zachary",Whig,Illinois,52853
,"Van Buren, Martin",Free Soil,Illinois,15702
1844,Total,Total,Illinois,109057
,"Polk, James",Democratic,Illinois,58795
,"Clay, Henry",Whig,Illinois,45854
,"Birney, James",Liberty,Illinois,3469
1840,Total,Total,Illinois,93175
,"Van Buren, Martin",Democratic,Illinois,47441
,"Harrison, William",Whig,Illinois,45574
1836,Total,Total,Illinois,33589
,"Van Buren, Martin",Democratic,Illinois,18369
,"Harrison, William",Whig,Illinois,15220
,"White, Hugh",Whig,Illinois,0
,"Webster, Daniel",Whig,Illinois,0
1832,Total,Total,Illinois,21481
,"Jackson, Andrew",Democratic,Illinois,14609
,"Clay, Henry",National Republican,Illinois,6745
,"Wirt, William",Anti-Masonic,Illinois,97
1828,Total,Total,Illinois,14222
,"Jackson, Andrew",Democratic,Illinois,9560
,"Adams, John Quincy",National Republican,Illinois,4662
2016,Total,Total,Indiana,2757828
,"Clinton, Hillary",Democratic,Indiana,1033126
,"Trump, Donald",Republican,Indiana,1557286
,"Johnson, Gary",Libertarian,Indiana,133993
2012,Total,Total,Indiana,2633143
,"Obama, Barack",Democratic,Indiana,1154275
,"Romney, Mitt",Republican,Indiana,1422872
2008,Total,Total,Indiana,2756658
,"Obama, Barack",Democratic,Indiana,1374039
,"McCain, John",Republican,Indiana,1345648
2004,Total,Total,Indiana,2468002
,"Kerry, John",Democratic,Indiana,969011
,"Bush, George W.",Republican,Indiana,1479438
2000,Total,Total,Indiana,2199302
,"Gore, Al",Democratic,Indiana,901980
,"Bush, George W.",Republican,Indiana,1245836
,"Nader, Ralph",Green,Indiana,18531
1996,Total,Total,Indiana,2135842
,"Clinton, Bill",Democratic,Indiana,887424
,"Dole, Bob",Republican,Indiana,1006693
,"Perot, Ross",Reform,Indiana,224299
1992,Total,Total,Indiana,2305871
,"Clinton, Bill",Democratic,Indiana,848420
,"Bush, George H.W.",Republican,Indiana,989375
,"Perot, Ross",Independent,Indiana,455934
1988,Total,Total,Indiana,2168621
,"Dukakis, Michael",Democratic,Indiana,860643
,"Bush, George H.W.",Republican,Indiana,1297763
1984,Total,Total,Indiana,2233069
,"Mondale, Walter",Democratic,Indiana,841481
,"Reagan, Ronald",Republican,Indiana,1377230
1980,Total,Total,Indiana,2242033
,"Carter, Jimmy",Democratic,Indiana,844197
,"Reagan, Ronald",Republican,Indiana,1255656
,"Anderson, John",Independent,Indiana,111639
1976,Total,Total,Indiana,2220362
,"Carter, Jimmy",Democratic,Indiana,1014714
,"Ford, Gerald",Republican,Indiana,1183958
1972,Total,Total,Indiana,2125529
,"McGovern, George",Democratic,Indiana,708568
,"Nixon, Richard",Republican,Indiana,1405154
1968,Total,Total,Indiana,2123597
,"Humphrey, Hubert",Democratic,Indiana,806659
,"Nixon, Richard",Republican,Indiana,1067885
,"Wallace, George",American Independent,Indiana,243108
1964,Total,Total,Indiana,2091606
,"Johnson, Lyndon (LBJ)",Democratic,Indiana,1170848
,"Goldwater, Barry",Republican,Indiana,911118
1960,Total,Total,Indiana,2135360
,"Kennedy, Jack (JFK)",Democratic,Indiana,952358
,"Nixon, Richard",Republican,Indiana,1175120
,"Other (Unpledge Democratic, etc.)","Other (Unpledge Democratic, etc.)",Indiana,7882
1956,Total,Total,Indiana,1974607
,"Stevenson, Adlai",Democratic,Indiana,783908
,"Eisenhower, Dwight",Republican,Indiana,1182811
,"Other (Unpledged Democratic, etc.)","Other (Unpledged Democratic, etc.)",Indiana,7888
1952,Total,Total,Indiana,1955325
,"Stevenson, Adlai",Democratic,Indiana,801530
,"Eisenhower, Dwight",Republican,Indiana,1136259
1948,Total,Total,Indiana,1656214
,"Truman, Harry",Democratic,Indiana,807833
,"Dewey, Thomas",Republican,Indiana,821079
,"Thurmond, Strom","States' Rights ""Dixiecrat""",Indiana,0
,"Wallace, Henry",Progressive,Indiana,9649
1944,Total,Total,Indiana,1672091
,"Roosevelt, Franklin (FDR)",Democratic,Indiana,781403
,"Dewey, Thomas",Republican,Indiana,875891
1940,Total,Total,Indiana,1782747
,"Roosevelt, Franklin (FDR)",Democratic,Indiana,874063
,"Wilkie, Wendell",Republican,Indiana,899466
1936,Total,Total,Indiana,1650897
,"Roosevelt, Franklin (FDR)",Democratic,Indiana,934974
,"Landon, Alf",Republican,Indiana,691570
1932,Total,Total,Indiana,1576927
,"Roosevelt, Franklin (FDR)",Democratic,Indiana,862054
,"Hoover, Herbert",Republican,Indiana,677184
,"Thomas, Norman",Socialist,Indiana,21388
1928,Total,Total,Indiana,1421314
,"Smith, Al",Democratic,Indiana,562691
,"Hoover, Herbert",Republican,Indiana,848290
1924,Total,Total,Indiana,1272390
,"Davis, John",Democratic,Indiana,492245
,"Coolidge, Calvin",Republican,Indiana,703042
,"LaFollette, Robert",Progressive,Indiana,71700
1920,Total,Total,Indiana,1262964
,"Cox, John",Democratic,Indiana,511364
,"Harding, Warren",Republican,Indiana,696370
,"Debs, Eugene",Socialist,Indiana,24703
1916,Total,Total,Indiana,718848
,"Wilson, Woodrow",Democratic,Indiana,334063
,"Hughes, Charles",Republican,Indiana,341005
,"Benson, Allan",Socialist,Indiana,21855
1912,Total,Total,Indiana,654474
,"Wilson, Woodrow",Democratic,Indiana,281890
,"Taft, William",Republican,Indiana,151267
,"Roosevelt, Theodore ""Teddy""","Progressive ""Bull Moose""",Indiana,162007
,"Debs, Eugene",Socialist,Indiana,36931
1908,Total,Total,Indiana,721126
,"Bryan, William",Democratic,Indiana,338262
,"Taft, William",Republican,Indiana,348993
,"Debs, Eugene",Socialist,Indiana,13476
1904,Total,Total,Indiana,682185
,"Parker, Alton",Democratic,Indiana,274345
,"Roosevelt, Theodore (Teddy)",Republican,Indiana,368289
,"Debs, Eugene",Socialist,Indiana,12013
1900,Total,Total,Indiana,664094
,"Bryan, William",Democratic,Indiana,309584
,"McKinley, William",Republican,Indiana,336063
1896,Total,Total,Indiana,637119
,"Bryan, William",Democratic,Indiana,305573
,"McKinley, William",Republican,Indiana,323754
1892,Total,Total,Indiana,553613
,"Cleveland, Grover",Democratic,Indiana,262740
,"Harrison, Benjamin",Republican,Indiana,255615
,"Weaver, James",Populist,Indiana,22208
1888,Total,Total,Indiana,536949
,"Cleveland, Grover",Democratic,Indiana,261013
,"Harrison, Benjamin",Republican,Indiana,263361
1884,Total,Total,Indiana,495332
,"Cleveland, Grover",Democratic,Indiana,245005
,"Blaine, James",Republican,Indiana,238489
1880,Total,Total,Indiana,470672
,"Hancock, Winfield",Democratic,Indiana,225522
,"Garfield, James",Republican,Indiana,232164
,"Weaver, James",Greenback,Indiana,12986
1876,Total,Total,Indiana,438911
,"Tilden, Samuel",Democratic,Indiana,213526
,"Hayes, Rutherford",Republican,Indiana,208011
1872,Total,Total,Indiana,351196
,"Greeley, Horace",Liberal Republican/Democratic,Indiana,163632
,"Grant, Ulysses",Republican,Indiana,186147
1868,Total,Total,Indiana,343532
,"Seymour, Horatio",Democratic,Indiana,166980
,"Grant, Ulysses",Republican,Indiana,176552
1864,Total,Total,Indiana,280655
,"McClellan, George",Democratic,Indiana,130233
,"Lincoln, Abraham",National Union (Republican),Indiana,150422
1860,Total,Total,Indiana,272143
,"Douglas, Stephen",(Northern) Democratic,Indiana,115509
,"Lincoln, Abraham",Republican,Indiana,139033
,"Breckinridge, John",Southern Democratic,Indiana,12295
,"Bell, John",Constitutional Union,Indiana,5306
1856,Total,Total,Indiana,235431
,"Buchanan, James",Democratic,Indiana,118670
,"Fremont, John",Republican,Indiana,94375
,"Fillmore, Millard","Fillmore, Millard",Indiana,22386
1852,Total,Total,Indiana,183170
,"Pierce, Franklin",Democratic,Indiana,95340
,"Scott, Winfield",Whig,Indiana,80901
,"Hale, John",Free Soil,Indiana,6929
1848,Total,Total,Indiana,152752
,"Cass, Lewis",Democratic,Indiana,74745
,"Taylor, Zachary",Whig,Indiana,69907
,"Van Buren, Martin",Free Soil,Indiana,8100
1844,Total,Total,Indiana,140154
,"Polk, James",Democratic,Indiana,70181
,"Clay, Henry",Whig,Indiana,67867
,"Birney, James",Liberty,Indiana,2106
1840,Total,Total,Indiana,116906
,"Van Buren, Martin",Democratic,Indiana,51604
,"Harrison, William",Whig,Indiana,65302
1836,Total,Total,Indiana,73759
,"Van Buren, Martin",Democratic,Indiana,32478
,"Harrison, William",Whig,Indiana,41281
,"White, Hugh",Whig,Indiana,0
,"Webster, Daniel",Whig,Indiana,0
1832,Total,Total,Indiana,47023
,"Jackson, Andrew",Democratic,Indiana,31551
,"Clay, Henry",National Republican,Indiana,15472
,"Wirt, William",Anti-Masonic,Indiana,0
1828,Total,Total,Indiana,39309
,"Jackson, Andrew",Democratic,Indiana,22257
,"Adams, John Quincy",National Republican,Indiana,17052
2016,Total,Total,Iowa,1566031
,"Clinton, Hillary",Democratic,Iowa,653669
,"Trump, Donald",Republican,Iowa,800983
,"Johnson, Gary",Libertarian,Iowa,59186
2012,Total,Total,Iowa,1582180
,"Obama, Barack",Democratic,Iowa,822544
,"Romney, Mitt",Republican,Iowa,730617
2008,Total,Total,Iowa,1537123
,"Obama, Barack",Democratic,Iowa,828940
,"McCain, John",Republican,Iowa,682379
2004,Total,Total,Iowa,1506908
,"Kerry, John",Democratic,Iowa,741898
,"Bush, George W.",Republican,Iowa,751957
2000,Total,Total,Iowa,1315563
,"Gore, Al",Democratic,Iowa,638517
,"Bush, George W.",Republican,Iowa,634373
,"Nader, Ralph",Green,Iowa,29374
1996,Total,Total,Iowa,1234075
,"Clinton, Bill",Democratic,Iowa,620258
,"Dole, Bob",Republican,Iowa,492644
,"Perot, Ross",Reform,Iowa,105159
1992,Total,Total,Iowa,1354607
,"Clinton, Bill",Democratic,Iowa,586353
,"Bush, George H.W.",Republican,Iowa,504891
,"Perot, Ross",Independent,Iowa,253468
1988,Total,Total,Iowa,1225614
,"Dukakis, Michael",Democratic,Iowa,670557
,"Bush, George H.W.",Republican,Iowa,545355
1984,Total,Total,Iowa,1319805
,"Mondale, Walter",Democratic,Iowa,605620
,"Reagan, Ronald",Republican,Iowa,703088
1980,Total,Total,Iowa,1317661
,"Carter, Jimmy",Democratic,Iowa,508672
,"Reagan, Ronald",Republican,Iowa,676026
,"Anderson, John",Independent,Iowa,115633
1976,Total,Total,Iowa,1279306
,"Carter, Jimmy",Democratic,Iowa,619931
,"Ford, Gerald",Republican,Iowa,632863
1972,Total,Total,Iowa,1225944
,"McGovern, George",Democratic,Iowa,496206
,"Nixon, Richard",Republican,Iowa,706207
1968,Total,Total,Iowa,1167931
,"Humphrey, Hubert",Democratic,Iowa,476699
,"Nixon, Richard",Republican,Iowa,619106
,"Wallace, George",American Independent,Iowa,66422
1964,Total,Total,Iowa,1184539
,"Johnson, Lyndon (LBJ)",Democratic,Iowa,733030
,"Goldwater, Barry",Republican,Iowa,449148
1960,Total,Total,Iowa,1273810
,"Kennedy, Jack (JFK)",Democratic,Iowa,550565
,"Nixon, Richard",Republican,Iowa,722381
,"Other (Unpledge Democratic, etc.)","Other (Unpledge Democratic, etc.)",Iowa,864
1956,Total,Total,Iowa,1234564
,"Stevenson, Adlai",Democratic,Iowa,501858
,"Eisenhower, Dwight",Republican,Iowa,729187
,"Other (Unpledged Democratic, etc.)","Other (Unpledged Democratic, etc.)",Iowa,3519
1952,Total,Total,Iowa,1268773
,"Stevenson, Adlai",Democratic,Iowa,451513
,"Eisenhower, Dwight",Republican,Iowa,808906
1948,Total,Total,Iowa,1038272
,"Truman, Harry",Democratic,Iowa,522380
,"Dewey, Thomas",Republican,Iowa,494018
,"Thurmond, Strom","States' Rights ""Dixiecrat""",Iowa,0
,"Wallace, Henry",Progressive,Iowa,12125
1944,Total,Total,Iowa,1052599
,"Roosevelt, Franklin (FDR)",Democratic,Iowa,499876
,"Dewey, Thomas",Republican,Iowa,547267
1940,Total,Total,Iowa,1215430
,"Roosevelt, Franklin (FDR)",Democratic,Iowa,578800
,"Wilkie, Wendell",Republican,Iowa,632370
1936,Total,Total,Iowa,1142733
,"Roosevelt, Franklin (FDR)",Democratic,Iowa,621756
,"Landon, Alf",Republican,Iowa,487977
1932,Total,Total,Iowa,1036687
,"Roosevelt, Franklin (FDR)",Democratic,Iowa,598019
,"Hoover, Herbert",Republican,Iowa,414433
,"Thomas, Norman",Socialist,Iowa,20467
1928,Total,Total,Iowa,1009489
,"Smith, Al",Democratic,Iowa,379311
,"Hoover, Herbert",Republican,Iowa,623570
1924,Total,Total,Iowa,976770
,"Davis, John",Democratic,Iowa,160382
,"Coolidge, Calvin",Republican,Iowa,537458
,"LaFollette, Robert",Progressive,Iowa,274448
1920,Total,Total,Iowa,895082
,"Cox, John",Democratic,Iowa,227921
,"Harding, Warren",Republican,Iowa,634674
,"Debs, Eugene",Socialist,Iowa,16981
1916,Total,Total,Iowa,516944
,"Wilson, Woodrow",Democratic,Iowa,221699
,"Hughes, Charles",Republican,Iowa,280439
,"Benson, Allan",Socialist,Iowa,10976
1912,Total,Total,Iowa,492356
,"Wilson, Woodrow",Democratic,Iowa,185325
,"Taft, William",Republican,Iowa,119805
,"Roosevelt, Theodore ""Teddy""","Progressive ""Bull Moose""",Iowa,161819
,"Debs, Eugene",Socialist,Iowa,16967
1908,Total,Total,Iowa,494769
,"Bryan, William",Democratic,Iowa,200771
,"Taft, William",Republican,Iowa,275209
,"Debs, Eugene",Socialist,Iowa,8287
1904,Total,Total,Iowa,486093
,"Parker, Alton",Democratic,Iowa,149276
,"Roosevelt, Theodore (Teddy)",Republican,Iowa,308158
,"Debs, Eugene",Socialist,Iowa,14849
1900,Total,Total,Iowa,530355
,"Bryan, William",Democratic,Iowa,209265
,"McKinley, William",Republican,Iowa,307808
1896,Total,Total,Iowa,521547
,"Bryan, William",Democratic,Iowa,223741
,"McKinley, William",Republican,Iowa,289293
1892,Total,Total,Iowa,443159
,"Cleveland, Grover",Democratic,Iowa,196367
,"Harrison, Benjamin",Republican,Iowa,219795
,"Weaver, James",Populist,Iowa,20595
1888,Total,Total,Iowa,404135
,"Cleveland, Grover",Democratic,Iowa,179877
,"Harrison, Benjamin",Republican,Iowa,211603
1884,Total,Total,Iowa,377201
,"Cleveland, Grover",Democratic,Iowa,177316
,"Blaine, James",Republican,Iowa,197089
1880,Total,Total,Iowa,322668
,"Hancock, Winfield",Democratic,Iowa,105845
,"Garfield, James",Republican,Iowa,183904
,"Weaver, James",Greenback,Iowa,32327
1876,Total,Total,Iowa,292878
,"Tilden, Samuel",Democratic,Iowa,112121
,"Hayes, Rutherford",Republican,Iowa,171326
1872,Total,Total,Iowa,216365
,"Greeley, Horace",Liberal Republican/Democratic,Iowa,71189
,"Grant, Ulysses",Republican,Iowa,131566
1868,Total,Total,Iowa,194439
,"Seymour, Horatio",Democratic,Iowa,74040
,"Grant, Ulysses",Republican,Iowa,120399
1864,Total,Total,Iowa,138025
,"McClellan, George",Democratic,Iowa,49525
,"Lincoln, Abraham",National Union (Republican),Iowa,88500
1860,Total,Total,Iowa,128739
,"Douglas, Stephen",(Northern) Democratic,Iowa,55639
,"Lincoln, Abraham",Republican,Iowa,70302
,"Breckinridge, John",Southern Democratic,Iowa,1035
,"Bell, John",Constitutional Union,Iowa,1763
1856,Total,Total,Iowa,92310
,"Buchanan, James",Democratic,Iowa,37568
,"Fremont, John",Republican,Iowa,45073
,"Fillmore, Millard","Fillmore, Millard",Iowa,9669
1852,Total,Total,Iowa,35364
,"Pierce, Franklin",Democratic,Iowa,17763
,"Scott, Winfield",Whig,Iowa,15856
,"Hale, John",Free Soil,Iowa,1606
1848,Total,Total,Iowa,22271
,"Cass, Lewis",Democratic,Iowa,11238
,"Taylor, Zachary",Whig,Iowa,9930
,"Van Buren, Martin",Free Soil,Iowa,1103
1844,Total,Total,Iowa,
,"Polk, James",Democratic,Iowa,
,"Clay, Henry",Whig,Iowa,
,"Birney, James",Liberty,Iowa,
1840,Total,Total,Iowa,
,"Van Buren, Martin",Democratic,Iowa,
,"Harrison, William",Whig,Iowa,
