Year,Candidate,Party,State,Votes
,"Greeley, Horace",Liberal Republican/Democratic,Nationwide,2833710
,"Grant, Ulysses",Republican,Nationwide,3597439
1868,Total,Total,Nationwide,5722816
,"Seymour, Horatio",Democratic,Nationwide,2708980
,"Grant, Ulysses",Republican,Nationwide,3013790
1864,Total,Total,Nationwide,4018202
,"McClellan, George",Democratic,Nationwide,1806227
,"Lincoln, Abraham",National Union (Republican),Nationwide,2211317
1860,Total,Total,Nationwide,4681267
,"Douglas, Stephen",(Northern) Democratic,Nationwide,1381944
,"Lincoln, Abraham",Republican,Nationwide,1855993
,"Breckinridge, John",Southern Democratic,Nationwide,851844
,"Bell, John",Constitutional Union,Nationwide,590946
1856,Total,Total,Nationwide,4051605
,"Buchanan, James",Democratic,Nationwide,1835140
,"Fremont, John",Republican,Nationwide,1340668
,"Fillmore, Millard","Fillmore, Millard",Nationwide,872703
1852,Total,Total,Nationwide,3159640
,"Pierce, Franklin",Democratic,Nationwide,1605943
,"Scott, Winfield",Whig,Nationwide,1386418
,"Hale, John",Free Soil,Nationwide,155799
1848,Total,Total,Nationwide,2876818
,"Cass, Lewis",Democratic,Nationwide,1222353
,"Taylor, Zachary",Whig,Nationwide,1360235
,"Van Buren, Martin",Free Soil,Nationwide,291475
1844,Total,Total,Nationwide,2703864
,"Polk, James",Democratic,Nationwide,1339570
,"Clay, Henry",Whig,Nationwide,1300157
,"Birney, James",Liberty,Nationwide,62054
1840,Total,Total,Nationwide,2412694
,"Van Buren, Martin",Democratic,Nationwide,1129645
,"Harrison, William",Whig,Nationwide,1275583
1836,Total,Total,Nationwide,1502811
,"Van Buren, Martin",Democratic,Nationwide,763291
,"Harrison, William",Whig,Nationwide,549907
,"White, Hugh",Whig,Nationwide,146107
,"Webster, Daniel",Whig,Nationwide,41201
1832,Total,Total,Nationwide,1283720
,"Jackson, Andrew",Democratic,Nationwide,702735
,"Clay, Henry",National Republican,Nationwide,474107
,"Wirt, William",Anti-Masonic,Nationwide,99817
1828,Total,Total,Nationwide,1149216
,"Jackson, Andrew",Democratic,Nationwide,642806
,"Adams, John Quincy",National Republican,Nationwide,501967
2016,Total,Total,Alabama,2123372
,"Clinton, Hillary",Democratic,Alabama,729547
,"Trump, Donald",Republican,Alabama,1318255
,"Johnson, Gary",Libertarian,Alabama,44467
2012,Total,Total,Alabama,2074338
,"Obama, Barack",Democratic,Alabama,795696
,"Romney, Mitt",Republican,Alabama,1255925
2008,Total,Total,Alabama,2099819
,"Obama, Barack",Democratic,Alabama,813479
,"McCain, John",Republican,Alabama,1266546
2004,Total,Total,Alabama,1883449
,"Kerry, John",Democratic,Alabama,693933
,"Bush, George W.",Republican,Alabama,1176394
2000,Total,Total,Alabama,1672551
,"Gore, Al",Democratic,Alabama,695602
,"Bush, George W.",Republican,Alabama,944409
,"Nader, Ralph",Green,Alabama,18349
1996,Total,Total,Alabama,1534349
,"Clinton, Bill",Democratic,Alabama,662165
,"Dole, Bob",Republican,Alabama,769044
,"Perot, Ross",Reform,Alabama,92149
1992,Total,Total,Alabama,1688060
,"Clinton, Bill",Democratic,Alabama,690080
,"Bush, George H.W.",Republican,Alabama,804283
,"Perot, Ross",Independent,Alabama,183109
1988,Total,Total,Alabama,1378476
,"Dukakis, Michael",Democratic,Alabama,549506
,"Bush, George H.W.",Republican,Alabama,815576
1984,Total,Total,Alabama,1441713
,"Mondale, Walter",Democratic,Alabama,551899
,"Reagan, Ronald",Republican,Alabama,872849
1980,Total,Total,Alabama,1341929
,"Carter, Jimmy",Democratic,Alabama,636730
,"Reagan, Ronald",Republican,Alabama,654192
,"Anderson, John",Independent,Alabama,16481
1976,Total,Total,Alabama,1182850
,"Carter, Jimmy",Democratic,Alabama,659170
,"Ford, Gerald",Republican,Alabama,504070
1972,Total,Total,Alabama,1006093
,"McGovern, George",Democratic,Alabama,256923
,"Nixon, Richard",Republican,Alabama,728701
1968,Total,Total,Alabama,1049917
,"Humphrey, Hubert",Democratic,Alabama,196579
,"Nixon, Richard",Republican,Alabama,146923
,"Wallace, George",American Independent,Alabama,691425
1964,Total,Total,Alabama,689817
,"Johnson, Lyndon (LBJ)",Democratic,Alabama,0
,"Goldwater, Barry",Republican,Alabama,479085
1960,Total,Total,Alabama,564473
,"Kennedy, Jack (JFK)",Democratic,Alabama,318303
,"Nixon, Richard",Republican,Alabama,237981
,"Other (Unpledge Democratic, etc.)","Other (Unpledge Democratic, etc.)",Alabama,8189
1956,Total,Total,Alabama,496871
,"Stevenson, Adlai",Democratic,Alabama,280844
,"Eisenhower, Dwight",Republican,Alabama,195694
,"Other (Unpledged Democratic, etc.)","Other (Unpledged Democratic, etc.)",Alabama,20333
1952,Total,Total,Alabama,426120
,"Stevenson, Adlai",Democratic,Alabama,275075
,"Eisenhower, Dwight",Republican,Alabama,149231
1948,Total,Total,Alabama,214980
,"Truman, Harry",Democratic,Alabama,0
,"Dewey, Thomas",Republican,Alabama,40930
,"Thurmond, Strom","States' Rights ""Dixiecrat""",Alabama,171443
,"Wallace, Henry",Progressive,Alabama,1522
1944,Total,Total,Alabama,244743
,"Roosevelt, Franklin (FDR)",Democratic,Alabama,198918
,"Dewey, Thomas",Republican,Alabama,44540
1940,Total,Total,Alabama,294219
,"Roosevelt, Franklin (FDR)",Democratic,Alabama,250726
,"Wilkie, Wendell",Republican,Alabama,42184
1936,Total,Total,Alabama,275744
,"Roosevelt, Franklin (FDR)",Democratic,Alabama,238196
,"Landon, Alf",Republican,Alabama,35358
1932,Total,Total,Alabama,245354
,"Roosevelt, Franklin (FDR)",Democratic,Alabama,207910
,"Hoover, Herbert",Republican,Alabama,34675
,"Thomas, Norman",Socialist,Alabama,2030
1928,Total,Total,Alabama,248981
,"Smith, Al",Democratic,Alabama,127796
,"Hoover, Herbert",Republican,Alabama,120725
1924,Total,Total,Alabama,162355
,"Davis, John",Democratic,Alabama,113138
,"Coolidge, Calvin",Republican,Alabama,40615
,"LaFollette, Robert",Progressive,Alabama,8040
1920,Total,Total,Alabama,260307
,"Cox, John",Democratic,Alabama,160560
,"Harding, Warren",Republican,Alabama,96589
,"Debs, Eugene",Socialist,Alabama,2402
1916,Total,Total,Alabama,130728
,"Wilson, Woodrow",Democratic,Alabama,99409
,"Hughes, Charles",Republican,Alabama,28662
,"Benson, Allan",Socialist,Alabama,1916
1912,Total,Total,Alabama,117869
,"Wilson, Woodrow",Democratic,Alabama,82438
,"Taft, William",Republican,Alabama,9717
,"Roosevelt, Theodore ""Teddy""","Progressive ""Bull Moose""",Alabama,22680
,"Debs, Eugene",Socialist,Alabama,3029
1908,Total,Total,Alabama,105152
,"Bryan, William",Democratic,Alabama,74391
,"Taft, William",Republican,Alabama,25561
,"Debs, Eugene",Socialist,Alabama,1450
1904,Total,Total,Alabama,108785
,"Parker, Alton",Democratic,Alabama,79797
,"Roosevelt, Theodore (Teddy)",Republican,Alabama,22472
,"Debs, Eugene",Socialist,Alabama,853
1900,Total,Total,Alabama,159692
,"Bryan, William",Democratic,Alabama,97129
,"McKinley, William",Republican,Alabama,55612
1896,Total,Total,Alabama,194580
,"Bryan, William",Democratic,Alabama,130298
,"McKinley, William",Republican,Alabama,55673
1892,Total,Total,Alabama,232543
,"Cleveland, Grover",Democratic,Alabama,138135
