Year,2016,,,,2012,,,2008,,,2004,,,2000,,,,1996,,,,1992,,,,1988,,,1984,,,1980,,,,1976,,,1972,,,1968,,,,1964,,,1960,,,,1956,,,,1952,,,1948,,,,,1944,,,1940,,,1936,,,1932,,,,1928,,,1924,,,,1920,,,,1916,,,,1912,,,,,1908,,,,1904,,,,1900,,,1896,,,1892,,,,1888,,,1884,,,1880,,,,1876,,,1872,,,1868,,,1864,,,1860,,,,,1856,,,,1852,,,,1848,,,,1844,,,,1840,,,1836,,,,,1832,,,,1828,,
Delaware,1,0.53086,0.41713,0.03325,1,0.58606,0.3998,1,0.61912,0.36929,1,0.53335,0.45743,1,0.54962,0.41904,0.02536,1,0.51775,0.36543,0.10594,1,0.43507,0.35313,0.20437,1,0.43478,0.5588,1,0.39932,0.59783,1,0.44874,0.47207,0.06911,1,0.51984,0.46571,1,0.39183,0.59596,1,0.41608,0.45116,0.13276,1,0.6095,0.38783,1,0.50635,0.48999,0.00366,1,0.44622,0.55092,0.00287,1,0.47875,0.51751,1,0.48761,0.50037,0.0,0.00755,1,0.54376,0.45267,1,0.54702,0.45053,1,0.54624,0.44855,1,0.48112,0.50551,0.01219,1,0.34604,0.65029,1,0.36799,0.577,0.05478,1,0.42067,0.55713,0.01041,1,0.47776,0.50205,0.00926,1,0.46476,0.32854,0.18249,0.01142,1,0.45941,0.52105,0.00498,1,0.44115,0.54052,0.00333,1,0.44897,0.53669,1,0.43099,0.53178,1,0.49902,0.48548,0.0,1,0.55147,0.43509,1,0.56553,0.432,1,0.51534,0.48028,0.00438,1,0.55447,0.44553,1,0.46765,0.50999,1,0.59001,0.40999,1,0.51808,0.48192,1,0.06615,0.23717,0.45541,0.24127,1,0.54829,0.02124,0.42985,1,0.49854,0.49657,0.00489,1,0.47539,0.51802,0.0066,1,0.48747,0.51204,0.0,1,0.44895,0.54985,1,0.467,0.53243,0.0,0.0,1,0.4901,0.5099,0.0,1,0,0
Florida,1,0.47413,0.48601,0.02179,1,0.49902,0.49027,1,0.50906,0.48099,1,0.47091,0.52098,1,0.48838,0.48847,0.01635,1,0.4802,0.42319,0.09123,1,0.39002,0.40895,0.19815,1,0.38507,0.60872,1,0.3466,0.65319,1,0.38499,0.55518,0.05145,1,0.51926,0.46642,1,0.27799,0.71915,1,0.30935,0.40534,0.28531,1,0.51149,0.48851,1,0.48485,0.51515,0.0,1,0.42729,0.57271,0.0,1,0.44975,0.5499,1,0.48817,0.33633,0.15538,0.02012,1,0.70324,0.29676,1,0.74014,0.25986,1,0.76082,0.23897,1,0.74681,0.25039,0.00281,1,0.40116,0.56832,1,0.56877,0.28064,0.07902,1,0.62132,0.30789,0.03562,1,0.69344,0.18098,0.0663,1,0.69522,0.08417,0.0896,0.09454,1,0.63015,0.21584,0.07591,1,0.68335,0.2148,0.06038,1,0.71308,0.1855,1,0.70461,0.24303,1,0.85007,0.0,0.13653,1,0.59484,0.39893,1,0.52957,0.46726,1,0.54175,0.45825,0.0,1,0.49014,0.50986,1,0.46481,0.53519,1,0,0,1,0,0,1,0.01677,0.0,0.62228,0.36095,1,0.56814,0.0,0.43186,1,0.60031,0.39969,0.0,1,0.42802,0.57198,0.0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
Georgia,1,0.45346,0.50444,0.03026,1,0.45385,0.53186,1,0.46898,0.52103,1,0.41342,0.57929,1,0.42985,0.54672,0.00517,1,0.45838,0.47012,0.06365,1,0.43469,0.42878,0.13341,1,0.39498,0.59753,1,0.39786,0.60173,1,0.55759,0.4095,0.02257,1,0.66742,0.32965,1,0.24646,0.75035,1,0.2675,0.30402,0.42835,1,0.45865,0.54118,1,0.6254,0.37427,0.00033,1,0.66482,0.32654,0.00864,1,0.69659,0.30341,1,0.60809,0.18314,0.20311,0.00391,1,0.81737,0.1825,1,0.84848,0.14833,1,0.87102,0.12601,1,0.91599,0.07771,0.0018,1,0.56556,0.43362,1,0.7396,0.1819,0.07619,1,0.72058,0.27629,0.00313,1,0.79508,0.07029,0.00586,1,0.76634,0.04273,0.18099,0.00871,1,0.54602,0.3121,0.00441,1,0.63721,0.18326,0.0015,1,0.66864,0.28218,1,0.57782,0.36555,1,0.58015,0.21695,0.18796,1,0.70306,0.28334,1,0.6592,0.33844,1,0.65405,0.34595,0.0,1,0.72033,0.27967,1,0.5497,0.4503,1,0.64266,0.35734,1,0,0,1,0.10852,0.0,0.48892,0.40256,1,0.57141,0.0,0.42859,1,0.64695,0.26602,0.0,1,0.48512,0.51488,0.0,1,0.51187,0.48813,0.0,1,0.44223,0.55777,1,0.48198,0.0,0.51802,0.0,1,1.0,0.0,0.0,1,0.96791,0.03209
Hawaii,1,0.62221,0.30039,0.03719,1,0.70545,0.27839,1,0.71846,0.26582,1,0.5401,0.45265,1,0.55792,0.37463,0.05877,1,0.56929,0.3164,0.07597,1,0.48093,0.36697,0.14216,1,0.54269,0.44751,1,0.43816,0.551,1,0.44802,0.42901,0.10558,1,0.50592,0.48061,1,0.37521,0.62479,1,0.59828,0.38704,0.01469,1,0.78761,0.21239,1,0.50031,0.49969,0.0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
Idaho,1,0.27485,0.59246,0.04103,1,0.324,0.64091,1,0.35908,0.61206,1,0.30261,0.68383,1,0.27638,0.6717,0.0245,1,0.33646,0.52183,0.12714,1,0.28418,0.4203,0.27045,1,0.36011,0.62078,1,0.26392,0.72365,1,0.25191,0.66456,0.06186,1,0.37119,0.5988,1,0.26041,0.64239,1,0.30659,0.56792,0.12549,1,0.50917,0.49083,1,0.46215,0.53785,0.0,1,0.38781,0.61167,0.00052,1,0.34421,0.65419,1,0.49982,0.47256,0.0,0.02315,1,0.51555,0.48069,1,0.54362,0.45309,1,0.62962,0.33192,1,0.58663,0.38268,0.00282,1,0.34925,0.64222,1,0.16357,0.47122,0.36522,1,0.34344,0.65604,0.00028,1,0.5204,0.41131,0.05992,1,0.32075,0.31025,0.24138,0.11309,1,0.37168,0.54085,0.06578,1,0.25462,0.65837,0.06819,1,0.50789,0.46963,1,0.78103,0.21316,1,0.0,0.44309,0.54207,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
Illinois,1,0.55247,0.3836,0.03747,1,0.57499,0.4066,1,0.61831,0.36729,1,0.54823,0.44479,1,0.54596,0.42585,0.02188,1,0.54315,0.3681,0.08035,1,0.4858,0.34337,0.16643,1,0.48605,0.50688,1,0.43297,0.56175,1,0.41716,0.49646,0.07301,1,0.48133,0.50103,1,0.40512,0.59031,1,0.44154,0.47076,0.08463,1,0.59471,0.40528,1,0.49982,0.49796,0.00222,1,0.40289,0.59521,0.00191,1,0.44943,0.54838,1,0.50068,0.49224,0.0,0.0,1,0.51522,0.4805,1,0.50971,0.48537,1,0.57702,0.39691,1,0.55233,0.42042,0.01974,1,0.42279,0.56932,1,0.23359,0.58837,0.1749,1,0.25512,0.67813,0.03568,1,0.43336,0.52563,0.028,1,0.35339,0.22125,0.33719,0.07091,1,0.39023,0.54528,0.03005,1,0.30433,0.58769,0.06431,1,0.44444,0.5283,1,0.42683,0.55656,1,0.48793,0.45704,0.02542,1,0.46583,0.49541,1,0.46435,0.50169,1,0.44564,0.51106,0.04236,1,0.46662,0.50202,1,0.42999,0.56268,1,0.44305,0.55695,1,0.45579,0.54421,1,0.47168,0.50688,0.00686,0.01447,1,0.44092,0.40226,0.15681,1,0.51865,0.4177,0.06364,1,0.44907,0.42419,0.12602,1,0.53912,0.42046,0.03181,1,0.50916,0.48912,1,0.54688,0.45312,0.0,0.0,1,0.68009,0.314,0.00452,1,0.6722,0.3278
Indiana,1,0.37462,0.56468,0.04859,1,0.43836,0.54037,1,0.49844,0.48814,1,0.39263,0.59945,1,0.41012,0.56647,0.00843,1,0.41549,0.47133,0.10502,1,0.36794,0.42907,0.19773,1,0.39686,0.59843,1,0.37683,0.61674,1,0.37653,0.56005,0.04979,1,0.457,0.53323,1,0.33336,0.66108,1,0.37986,0.50287,0.11448,1,0.55978,0.43561,1,0.44599,0.55031,0.00369,1,0.39699,0.59901,0.00399,1,0.40992,0.58111,1,0.48776,0.49576,0.0,0.00583,1,0.46732,0.52383,1,0.49029,0.50454,1,0.56634,0.41891,1,0.54667,0.42943,0.01356,1,0.39589,0.59684,1,0.38687,0.55254,0.05635,1,0.40489,0.55138,0.01956,1,0.46472,0.47438,0.0304,1,0.43071,0.23113,0.24754,0.05643,1,0.46907,0.48396,0.01869,1,0.40216,0.53987,0.01761,1,0.46617,0.50605,1,0.47962,0.50815,1,0.47459,0.46172,0.04011,1,0.4861,0.49048,1,0.49463,0.48147,1,0.47915,0.49326,0.02759,1,0.48649,0.47393,1,0.46593,0.53004,1,0.48607,0.51393,1,0.46403,0.53597,1,0.42444,0.51088,0.04518,0.0195,1,0.50405,0.40086,0.09509,1,0.5205,0.44167,0.03783,1,0.48932,0.45765,0.05303,1,0.50074,0.48423,0.01503,1,0.44141,0.55859,1,0.44033,0.55967,0.0,0.0,1,0.67097,0.32903,0.0,1,0.56621,0.43379
Iowa,1,0.4174,0.51147,0.03779,1,0.51988,0.46178,1,0.53928,0.44393,1,0.49233,0.49901,1,0.48536,0.48221,0.02233,1,0.50261,0.3992,0.08521,1,0.43286,0.37272,0.18712,1,0.54712,0.44496,1,0.45887,0.53272,1,0.38604,0.51305,0.08776,1,0.48458,0.49469,1,0.40475,0.57605,1,0.40816,0.53009,0.05687,1,0.61883,0.37918,1,0.43222,0.5671,0.00068,1,0.40651,0.59064,0.00285,1,0.35587,0.63755,1,0.50312,0.47581,0.0,0.01168,1,0.4749,0.51992,1,0.47621,0.52029,1,0.5441,0.42703,1,0.57686,0.39977,0.01974,1,0.37575,0.61771,1,0.1642,0.55024,0.28098,1,0.25464,0.70907,0.01897,1,0.42886,0.54249,0.02123,1,0.3764,0.24333,0.32866,0.03446,1,0.40579,0.55624,0.01675,1,0.30709,0.63395,0.03055,1,0.39458,0.58038,1,0.42899,0.55468,1,0.44311,0.49597,0.04647,1,0.44509,0.52359,1,0.47008,0.5225,1,0.32803,0.56995,0.10019,1,0.38282,0.58497,1,0.32902,0.60807,1,0.38079,0.61921,1,0.35881,0.64119,1,0.43218,0.54608,0.00804,0.01369,1,0.40698,0.48828,0.10474,1,0.50229,0.44837,0.04541,1,0.5046,0.44587,0.04953,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
Kansas,1,0.3574,0.56164,0.04637,1,0.38046,0.59659,1,0.41551,0.56475,1,0.36623,0.62004,1,0.37238,0.58042,0.03366,1,0.36085,0.54291,0.08623,1,0.33738,0.38882,0.26992,1,0.4256,0.55793,1,0.32598,0.66272,1,0.33288,0.5785,0.06964,1,0.44936,0.52488,1,0.29504,0.67658,1,0.34716,0.54845,0.10188,1,0.54089,0.45061,1,0.39105,0.6045,0.00446,1,0.34207,0.65441,0.00352,1,0.30496,0.68771,1,0.44611,0.53629,0.0,0.00584,1,0.39175,0.60249,1,0.42395,0.5686,1,0.5367,0.45953,1,0.53563,0.4413,0.02308,1,0.27062,0.72024,1,0.23597,0.6154,0.14863,1,0.32519,0.64748,0.0272,1,0.49949,0.44086,0.03919,1,0.39299,0.20474,0.32884,0.07325,1,0.42881,0.52459,0.03304,1,0.26228,0.64814,0.0483,1,0.45963,0.52564,1,0.51316,0.4763,1,0.0,0.48396,0.50203,1,0.31027,0.55233,1,0.33904,0.58081,1,0.29717,0.60401,0.09865,1,0.30533,0.63096,1,0.32802,0.66465,1,0.31171,0.68822,1,0.17776,0.79189,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
Kentucky,1,0.32682,0.6252,0.02794,1,0.37784,0.60465,1,0.41146,0.57369,1,0.39683,0.59543,1,0.41374,0.56502,0.01502,1,0.45842,0.44882,0.0867,1,0.44551,0.41341,0.13661,1,0.43884,0.55521,1,0.39373,0.60037,1,0.47613,0.4907,0.02404,1,0.52754,0.45569,1,0.34769,0.63367,1,0.3765,0.43793,0.18288,1,0.64015,0.35654,1,0.46409,0.53591,0.0,1,0.45213,0.54298,0.0049,1,0.49915,0.49844,1,0.56738,0.41477,0.01266,0.0019,1,0.54451,0.45217,1,0.57446,0.42301,1,0.58512,0.39916,1,0.59058,0.40152,0.00392,1,0.40484,0.59359,1,0.45976,0.48933,0.04718,1,0.49693,0.49256,0.00698,1,0.51914,0.46504,0.0091,1,0.48482,0.25515,0.22479,0.02572,1,0.49742,0.48034,0.00834,1,0.49816,0.47129,0.00826,1,0.50212,0.48505,1,0.48863,0.48925,1,0.51475,0.39741,0.06894,1,0.53304,0.44985,1,0.55324,0.42929,1,0.55737,0.39868,0.04308,1,0.61414,0.37436,1,0.52316,0.46442,1,0.74548,0.25452,1,0.69826,0.30174,1,0.17543,0.00933,0.36346,0.45178,1,0.52543,0.0,0.47457,1,0.48323,0.51439,0.00238,1,0.42545,0.57455,0.0,1,0.45911,0.54089,0.0,1,0.35801,0.64199,1,0.47409,0.52591,0.0,0.0,1,0.45512,0.54488,0.0,1,0.55539,0.44461
Louisiana,1,0.3845,0.58089,0.01872,1,0.40577,0.57785,1,0.39933,0.58563,1,0.42216,0.56722,1,0.44875,0.52551,0.0116,1,0.5201,0.39944,0.06911,1,0.45585,0.40971,0.11814,1,0.44065,0.54275,1,0.38175,0.60774,1,0.45748,0.51198,0.01701,1,0.51732,0.4595,1,0.28354,0.65322,1,0.28212,0.23467,0.48321,1,0.43185,0.56815,1,0.5042,0.2859,0.20989,1,0.39508,0.53283,0.07209,1,0.52922,0.47078,1,0.32749,0.17452,0.49069,0.00729,1,0.80589,0.19391,1,0.85884,0.14087,1,0.88816,0.11156,1,0.92788,0.07014,0.0,1,0.76288,0.23704,1,0.76439,0.20229,0.0,1,0.69242,0.3049,0.0,1,0.85904,0.06954,0.00314,1,0.76811,0.04837,0.11714,0.06639,1,0.84625,0.11925,0.03347,1,0.88499,0.09655,0.01846,1,0.79033,0.20961,1,0.76376,0.21809,1,0.76531,0.23469,0.0,1,0.73372,0.26456,1,0.57216,0.42365,1,0.62269,0.37313,0.00418,1,0.48352,0.51648,1,0.44314,0.55686,1,0.7069,0.2931,1,0,0,1,0.15096,0.0,0.44904,0.4,1,0.51697,0.0,0.48303,1,0.51939,0.48061,0.0,1,0.45411,0.54589,0.0,1,0.51301,0.48699,0.0,1,0.40271,0.59729,1,0.51744,0.0,0.48256,0.0,1,0.6167,0.3833,0.0,1,0.5301,0.4699
Maine,1,0.4783,0.4487,0.05095,1,0.5627,0.40982,1,0.57706,0.40384,1,0.53573,0.44576,1,0.49086,0.43972,0.05696,1,0.51624,0.30761,0.14189,1,0.38767,0.30391,0.30437,1,0.43884,0.55335,1,0.38781,0.60834,1,0.4225,0.45606,0.10196,1,0.4807,0.48906,1,0.38484,0.61461,1,0.55305,0.43074,0.01621,1,0.68796,0.31137,1,0.42952,0.57047,1e-05,1,0.29135,0.70865,0.0,1,0.33772,0.6605,1,0.42266,0.56737,0.0,0.00712,1,0.47446,0.52441,1,0.48771,0.51101,1,0.41524,0.5549,1,0.43193,0.55833,0.00834,1,0.30964,0.68628,1,0.21834,0.72032,0.05922,1,0.29802,0.68922,0.01119,1,0.46975,0.50991,0.01597,1,0.39427,0.20476,0.37407,0.0196,1,0.33294,0.62996,0.01653,1,0.2849,0.6744,0.02166,1,0.34839,0.61889,1,0.29207,0.67897,1,0.41261,0.54045,0.02058,1,0.39353,0.57488,1,0.39967,0.55343,1,0.45316,0.5146,0.03064,1,0.42648,0.56645,1,0.32143,0.67857,1,0.37588,0.62412,1,0.40935,0.59065,1,0.29423,0.6224,0.0631,0.02027,1,0.35683,0.61336,0.02981,1,0.5063,0.39599,0.09771,1,0.45872,0.40254,0.13874,1,0.53829,0.40477,0.05694,1,0.49773,0.50227,1,0.58918,0.38211,0.0,0.0,1,0.54668,0.43974,0.01358,1,0.40033,0.59711
Maryland,1,0.60326,0.33909,0.02862,1,0.61974,0.35898,1,0.61919,0.36475,1,0.55914,0.42934,1,0.56568,0.40178,0.02655,1,0.54255,0.38269,0.06503,1,0.49801,0.35621,0.14177,1,0.48199,0.51108,1,0.47016,0.52505,1,0.47138,0.44181,0.0776,1,0.53035,0.46965,1,0.3736,0.61257,1,0.43586,0.41942,0.14472,1,0.65467,0.34528,1,0.53613,0.46386,0.0,1,0.39965,0.60035,0.0,1,0.43825,0.55364,1,0.48015,0.49405,0.00415,0.01673,1,0.51852,0.48148,1,0.58254,0.40831,1,0.62348,0.37036,1,0.61503,0.3604,0.02052,1,0.42326,0.57061,1,0.41288,0.45287,0.13149,1,0.42159,0.5511,0.02072,1,0.52801,0.44782,0.0102,1,0.4857,0.2369,0.24911,0.01723,1,0.48592,0.48846,0.00974,1,0.4881,0.48833,0.01002,1,0.46226,0.51501,1,0.41619,0.54729,1,0.53389,0.43482,0.00373,1,0.5034,0.474,1,0.52073,0.46096,1,0.5441,0.4559,0.0,1,0.56045,0.43955,1,0.50345,0.49655,1,0.67199,0.32801,1,0.44914,0.55086,1,0.0645,0.0248,0.45925,0.45145,1,0.45041,0.00328,0.5463,1,0.53277,0.46695,0.00028,1,0.47718,0.52104,0.00178,1,0.47614,0.52386,0.0,1,0.46166,0.53834,1,0.46275,0.53725,0.0,0.0,1,0.49995,0.50005,0.0,1,0.49747,0.50253
Massachusetts,1,0.60005,0.32808,0.04151,1,0.60666,0.37517,1,0.618,0.35989,1,0.61935,0.36778,1,0.59804,0.32501,0.06421,1,0.61474,0.28086,0.08887,1,0.47544,0.29026,0.22798,1,0.53229,0.45375,1,0.48432,0.51219,1,0.41746,0.41898,0.15154,1,0.56112,0.40442,1,0.54196,0.45229,1,0.63009,0.32887,0.03735,1,0.76187,0.23445,1,0.60222,0.39553,0.00225,1,0.40374,0.59323,0.00303,1,0.45461,0.54222,1,0.54661,0.43156,0.0,0.01811,1,0.52803,0.46992,1,0.53109,0.46359,1,0.51225,0.41764,1,0.50639,0.4664,0.02171,1,0.50244,0.49154,1,0.24856,0.62263,0.125,1,0.27844,0.68546,0.03247,1,0.46611,0.50539,0.02079,1,0.3553,0.31953,0.29142,0.02585,1,0.34042,0.58209,0.02359,1,0.37237,0.57923,0.03056,1,0.37848,0.57585,1,0.26325,0.69472,1,0.45217,0.51867,0.00821,1,0.44036,0.53419,1,0.40329,0.48363,1,0.3958,0.58526,0.01611,1,0.41899,0.57801,1,0.30693,0.69196,1,0.3023,0.69756,1,0.27777,0.72222,1,0.20232,0.62801,0.03628,0.13145,1,0.23078,0.63613,0.11541,1,0.35065,0.41449,0.22047,1,0.26183,0.45323,0.28448,1,0.4017,0.5079,0.08202,1,0.41281,0.57443,1,0.44808,0.0,0.0,0.55132,1,0.20605,0.47269,0.21728,1,0.15386,0.76358
Michigan,1,0.4703,0.47252,0.03568,1,0.54044,0.44576,1,0.5733,0.40886,1,0.51231,0.47812,1,0.51277,0.46144,0.01988,1,0.51695,0.38485,0.08747,1,0.43774,0.36376,0.19295,1,0.45672,0.53568,1,0.40236,0.59226,1,0.42497,0.48986,0.07039,1,0.46438,0.5183,1,0.41814,0.56205,1,0.48184,0.41457,0.10041,1,0.66705,0.33098,1,0.50851,0.48836,0.00313,1,0.44146,0.55629,0.00225,1,0.43974,0.5544,1,0.47566,0.49232,0.0,0.02205,1,0.50194,0.49175,1,0.49522,0.49854,1,0.56329,0.38764,1,0.52362,0.44444,0.02355,1,0.28917,0.7036,1,0.1313,0.75372,0.10515,1,0.22267,0.72764,0.02761,1,0.44053,0.52091,0.02476,1,0.27361,0.27632,0.38946,0.04213,1,0.3244,0.61935,0.02138,1,0.25788,0.69512,0.01722,1,0.38886,0.58097,1,0.4347,0.53765,1,0.43263,0.47787,0.04277,1,0.44907,0.49728,1,0.472,0.48025,1,0.37271,0.52491,0.09883,1,0.44492,0.5241,1,0.3547,0.62657,1,0.43019,0.56981,1,0.46399,0.53601,1,0.41986,0.57231,0.00521,0.00262,1,0.41525,0.57153,0.01322,1,0.50449,0.40825,0.08726,1,0.47236,0.36795,0.15969,1,0.49752,0.43721,0.06527,1,0.47567,0.51709,1,0.56225,0.43775,0.0,0.0,1,0,0,0,1,0,0
Minnesota,1,0.46442,0.44928,0.03836,1,0.52652,0.44958,1,0.5406,0.43823,1,0.5109,0.47614,1,0.47906,0.45502,0.05195,1,0.511,0.34957,0.11753,1,0.43485,0.31851,0.23957,1,0.52913,0.45896,1,0.49719,0.49538,1,0.46501,0.42557,0.08528,1,0.54896,0.42022,1,0.46068,0.51576,1,0.53996,0.41463,0.04339,1,0.63759,0.36001,1,0.50583,0.49155,0.00262,1,0.46084,0.53679,0.00237,1,0.44108,0.55326,1,0.57165,0.39895,0.0,0.02299,1,0.52408,0.46859,1,0.51487,0.47657,1,0.61843,0.31015,1,0.5991,0.36293,0.0254,1,0.4083,0.57775,1,0.06801,0.51178,0.41257,1,0.19433,0.70589,0.07625,1,0.46249,0.4635,0.05193,1,0.31843,0.19249,0.37657,0.0823,1,0.33021,0.59113,0.04385,1,0.18844,0.73978,0.03992,1,0.35693,0.60213,1,0.40887,0.56619,1,0.37764,0.4596,0.10969,1,0.39647,0.54121,1,0.36873,0.58776,1,0.35362,0.62282,0.02167,1,0.39159,0.58799,1,0.38728,0.61272,1,0.39121,0.60879,1,0.40939,0.59061,1,0.34315,0.63532,0.02153,0.0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
Mississippi,1,0.40057,0.57858,0.01192,1,0.43789,0.55286,1,0.42999,0.56173,1,0.39753,0.59441,1,0.40703,0.57615,0.00817,1,0.44081,0.49207,0.05842,1,0.40768,0.49684,0.08721,1,0.39067,0.5989,1,0.3746,0.61847,1,0.48092,0.49415,0.01348,1,0.49562,0.47682,1,0.19627,0.78197,1,0.23016,0.13524,0.6346,1,0.1286,0.8714,1,0.36342,0.24671,0.38987,1,0.5823,0.24455,0.17315,1,0.60437,0.39563,1,0.10086,0.02624,0.87173,0.00117,1,0.93558,0.06442,1,0.95702,0.04188,1,0.97034,0.02755,1,0.95983,0.03547,0.0047,1,0.821,0.179,1,0.8934,0.07553,0.03107,1,0.8398,0.14033,0.01987,1,0.92781,0.04907,0.01712,1,0.88898,0.02419,0.05504,0.03179,1,0.9011,0.06521,0.01462,1,0.91075,0.05586,0.00787,1,0.87556,0.09664,1,0.91039,0.06925,1,0.7622,0.02662,0.19265,1,0.73801,0.25992,1,0.64342,0.35658,1,0.64706,0.29764,0.04952,1,0.68076,0.31924,1,0.36523,0.63477,1,0,0,1,0,0,1,0.0475,0.0,0.59003,0.36247,1,0.59443,0.0,0.40557,1,0.60503,0.39497,0.0,1,0.50604,0.49396,0.0,1,0.5743,0.4257,0.0,1,0.46571,0.53429,1,0.51282,0.0,0.48718,0.0,1,1.0,0.0,0.0,1,0.81052,0.18948
Missouri,1,0.37878,0.5639,0.03443,1,0.44281,0.5364,1,0.49227,0.4936,1,0.461,0.53296,1,0.47084,0.50423,0.01632,1,0.4754,0.41241,0.10064,1,0.44066,0.33917,0.2169,1,0.4785,0.51832,1,0.39975,0.60025,1,0.44346,0.51156,0.03711,1,0.51105,0.47474,1,0.37706,0.62294,1,0.43738,0.4487,0.11391,1,0.6405,0.3595,1,0.50258,0.49742,0.0,1,0.50109,0.49891,0.0,1,0.49144,0.50708,1,0.58108,0.41494,3e-05,0.00253,1,0.51372,0.48428,1,0.52269,0.47499,1,0.60758,0.38165,1,0.63694,0.35078,0.01017,1,0.4415,0.55579,1,0.4379,0.4958,0.06434,1,0.43127,0.54559,0.01519,1,0.50591,0.46944,0.01857,1,0.47346,0.2975,0.17804,0.04075,1,0.48409,0.48497,0.02155,1,0.46021,0.49925,0.0202,1,0.51476,0.45943,1,0.53964,0.4525,1,0.49558,0.42033,0.07608,1,0.50242,0.45315,1,0.53487,0.46022,1,0.52506,0.38674,0.0882,1,0.57638,0.41364,1,0.55458,0.43652,1,0.43038,0.56962,1,0.3028,0.6972,1,0.35516,0.10285,0.18943,0.35257,1,0.54433,0.0,0.45567,1,0.56419,0.43581,0.0,1,0.5509,0.4491,0.0,1,0.56979,0.43021,0.0,1,0.56628,0.43372,1,0.59977,0.0,0.40023,0.0,1,1.0,0.0,0.0,1,0.70637,0.29363
Montana,1,0.35413,0.55645,0.05587,1,0.41661,0.55302,1,0.47115,0.49494,1,0.38564,0.59067,1,0.33364,0.58438,0.05946,1,0.41232,0.44112,0.13561,1,0.37629,0.3512,0.26114,1,0.46199,0.52072,1,0.38177,0.60474,1,0.32431,0.56825,0.08045,1,0.45404,0.5284,1,0.37845,0.57926,1,0.41587,0.50595,0.07294,1,0.58948,0.40567,1,0.48596,0.51099,0.00305,1,0.42865,0.57135,0.0,1,0.40075,0.59386,1,0.53091,0.43147,0.0,0.03261,1,0.54282,0.44929,1,0.58779,0.40173,1,0.69276,0.2759,1,0.58798,0.36067,0.03645,1,0.40482,0.5837,1,0.19381,0.42505,0.3791,1,0.3205,0.61132,0.0,1,0.5688,0.37568,0.05383,1,0.35002,0.2319,0.28131,0.13636,1,0.42611,0.46981,0.08507,1,0.33786,0.54205,0.08808,1,0.5843,0.39791,1,0.79932,0.19706,1,0.39788,0.42444,0.16504,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
Nebraska,1,0.33699,0.58747,0.04613,1,0.38027,0.59803,1,0.41598,0.56532,1,0.32682,0.65899,1,0.33253,0.62245,0.03521,1,0.34951,0.53655,0.10522,1,0.29399,0.46578,0.23629,1,0.39199,0.60155,1,0.2881,0.70551,1,0.26036,0.65528,0.07021,1,0.38457,0.59194,1,0.29498,0.70502,1,0.31812,0.59823,0.08364,1,0.52607,0.47393,1,0.37929,0.62071,0.0,1,0.34486,0.65514,0.0,1,0.30846,0.69154,1,0.45847,0.54153,0.0,0.0,1,0.4142,0.5858,1,0.42813,0.57187,1,0.57143,0.40744,1,0.62982,0.35286,0.01732,1,0.3618,0.63191,1,0.29577,0.47091,0.22987,1,0.3125,0.64664,0.02508,1,0.5528,0.4099,0.02485,1,0.43694,0.21735,0.29133,0.04082,1,0.49138,0.476,0.01321,1,0.23444,0.61382,0.03284,1,0.47224,0.50464,1,0.51531,0.46179,1,0.1246,0.43565,0.41527,1,0.39753,0.53508,1,0.40529,0.57311,1,0.32616,0.62868,0.04517,1,0.353,0.647,1,0.29319,0.70681,1,0.36093,0.63907,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
